city,state_abbr,elec_score,gas_score,num_establishments,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg
Livingston,NY,23213.41536,43400.91247,77,474,4466,0,62,8041517,7469
Livingston,TN,22656.32135,52705.54396,146,2505,21833,362,46450,36598852,5575936
Livingston,TX,18885.94653,33620.75149,180,2401,28618,273,42056,45664030,5048512
Livingston,WI,2121.942532,2769.885573,15,139,1234,30,4548,1610469,545968
Livonia,LA,3893.604129,4231.731883,19,128,1251,0,1,1995490,71
Livonia,MI,2697970.938,5018832.297,1974,48115,500101,10005,1533610,652752209,184098667
Livonia,NY,93985.31725,158816.6733,172,1114,10599,374,71990,19083557,8641842
Lizton,IN,2299.609077,2953.190229,11,72,805,0,3,1371658,379
Llano,TX,20599.68259,50946.38433,111,1329,15845,105,15784,21216505,1894807
Lloyd,NY,142726.9864,258089.9814,236,2757,23504,0,0,42320041,0
Loa,UT,2541.721053,4890.745767,16,161,1826,41,5583,2251708,670215
Loami,IL,628.545026,714.1297549,6,48,540,28,3623,551896,434948
Loch Arbour,NJ,1546.236681,2513.835077,10,125,1070,41,3923,2061899,470874
Loch Lloyd,KS,1263.915006,2569.323879,5,72,702,0,0,1263933,0
Loch Lynn Heights,MD,655.8208178,1252.327034,15,80,784,41,4797,1336037,575800
Lochbuie,CO,4998.378123,6684.103392,11,150,1392,12,2323,2439474,278838
Locke,NY,5890.941489,7960.238523,42,371,3517,76,13050,6332421,1566520
Lockesburg,AR,277.646038,340.8986543,9,60,792,28,4342,1680094,521205
Lockhart,TX,20983.37654,37554.29859,201,3154,37597,370,56481,50342301,6780185
Lockland,OH,9312.905942,15014.98348,95,1311,15018,441,59750,25603414,7172567
Lockney,TX,12164.20188,35375.3786,23,248,2958,22,3250,6276618,390196
Lockport,IL,113988.9503,182760.8109,261,5063,57989,1502,249058,98865430,29897585
Lockport,LA,5053.911675,6989.481462,43,1041,12878,66,8389,20549150,1007079
Lockport,NY,151527.5447,266073.5829,742,12352,116459,3325,585509,209691961,70286029
Lockridge,IA,147.1318859,96.64638245,8,35,378,11,1655,386573,198628
Lockwood,MO,4135.6445,5433.404596,25,354,3220,0,0,3289815,0
Locust Grove,OK,2976.319159,4702.613278,27,402,5282,75,10833,11208124,1300433
Loda,IL,2006.418247,2698.518707,14,99,1107,55,9059,1130553,1087474
Lodi,CA,456198.9457,957318.2775,951,30259,177399,2795,337817,237539159,40552415
Lodi,NJ,298799.5801,423272.5893,384,5090,42199,1894,261698,81323342,31414932
Lodi,NY,7102.522715,10456.81145,28,159,1490,0,0,2682883,0
Lodi,OH,14448.13988,38344.63145,68,525,5201,158,28799,8866309,3457146
Lodi,WI,5396.114178,9208.644034,65,479,4263,215,36327,5564904,4360737
Log Lane Village,CO,974.4854902,1154.451673,8,285,2832,10,1955,4962891,234661
Logan,IA,1220.448794,1705.165181,48,248,2721,79,13483,2944843,1618568
Logan,KS,1307.839684,1709.63923,15,157,1316,73,10035,2369441,1204570
Logan,NJ,125014.1367,190832.1119,151,11255,78616,3193,327895,151504217,39361354
Logan,NM,2750.698642,5301.958208,24,316,3250,12,2138,6895488,256646
Logan,OH,31162.06094,68471.33325,216,2206,21775,468,85225,37124316,10230605
Logan,UT,703764.932,1453627.761,655,12655,149290,3239,436240,184137601,52367405
Logansport,IN,58837.16455,128136.2606,378,4620,51789,1299,218018,88295004,26171513
Logansport,LA,1384.474869,1745.301116,28,354,3703,39,4896,7856293,587773
Logansport,TX,2768.949737,3490.602233,28,354,3703,39,4896,7856293,587773
Loganville,PA,926.0465626,1260.177338,12,84,872,78,9910,1679831,1189621
Loganville,WI,1398.126389,2636.724126,10,64,567,8,1166,740516,139912
Lohrville,IA,1693.389379,2070.221556,10,36,390,11,1894,422016,227369
Lohrville,WI,182.2624184,333.974354,5,29,256,7,1125,334066,135017
Loma Linda,CA,218319.3262,558146.9543,223,10391,80743,1046,122495,108116153,14704623
Lombard,IL,746786.704,1256038.636,734,10040,114996,3175,526427,196055944,63193717
Lometa,TX,1565.790752,3041.981,13,144,1711,13,1955,2290600,234714
Lomira,WI,14117.88015,20777.46983,41,304,2636,134,23338,4493529,2801558
Lomita,CA,143806.2904,266414.9091,340,5170,39428,527,61629,52795126,7398091
Lompoc,CA,52314.81471,108977.9983,472,11711,75888,812,95020,101614099,11406451
Lonaconing,MD,471.6133791,607.0993532,21,158,1536,34,3984,2618231,478248
London,AR,3915.570475,5066.000771,18,137,1693,40,6265,2701074,752095
London,KY,32723.82816,52840.91704,384,5896,62917,802,76252,105467967,9153532
London,OH,10702.58892,19625.31272,226,3170,31428,528,96358,53582102,11567131
London Britain,DE,1377.467687,2339.343975,45,202,1989,34,4100,3832834,492159
London Britain,MD,1377.467687,2339.343975,45,202,1989,34,4100,3832834,492159
London Britain,PA,1377.467687,2339.343975,45,202,1989,34,4100,3832834,492159
London Grove,PA,52793.19548,88140.68208,126,789,7775,254,30738,14983026,3689870
London Mills,IL,451.5160621,326.968949,4,32,361,0,9,369258,1112
Londonderry,MD,1648.83676,2237.102954,17,74,805,39,5053,1373087,606552
Londonderry,NH,414322.1149,674187.5306,426,20718,143509,3047,269428,155745171,32342910
Londonderry,PA,54209.62491,84223.26538,137,1018,11570,612,76361,22118848,9166586
Londonderry,VT,68653.13421,112847.1931,57,578,4028,0,0,4371447,0
