,zip,city,num_establishments,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,state_id
50238,60941,Union Hill,2.0,7.0,84.0,4.0,594.0,IL
50239,60941,Herscher,40.0,264.0,3005.0,175.0,28967.0,IL
50240,60942,Hoopeston,109.0,1201.0,13504.0,7.0,1194.0,IL
50241,60942,Rossville,25.0,204.0,2292.0,13.0,2149.0,IL
50242,60945,Iroquois,5.0,31.0,349.0,11.0,1761.0,IL
50243,60946,Kempton,5.0,33.0,374.0,12.0,1939.0,IL
50244,60948,Loda,14.0,99.0,1107.0,55.0,9059.0,IL
50245,60949,Ludlow,2.0,81.0,911.0,6.0,987.0,IL
50246,60950,Bourbonnais,223.0,1971.0,22575.0,804.0,133303.0,IL
50247,60950,Manteno,65.0,848.0,9717.0,500.0,82923.0,IL
50248,60951,Martinton,5.0,30.0,342.0,10.0,1728.0,IL
50249,60951,Papineau,0.0,3.0,32.0,1.0,163.0,IL
50250,60952,Melvin,5.0,50.0,559.0,14.0,2346.0,IL
50251,60953,Woodland,4.0,64.0,721.0,3.0,425.0,IL
50252,60953,Milford,40.0,287.0,3219.0,45.0,6750.0,IL
50253,60954,Hopkins Park,9.0,54.0,614.0,21.0,3514.0,IL
50254,60954,Momence,66.0,557.0,6383.0,356.0,58967.0,IL
50255,60955,Onarga,29.0,259.0,2908.0,85.0,14036.0,IL
50256,60957,Paxton,100.0,1134.0,12736.0,251.0,41608.0,IL
50257,60957,Elliott,7.0,56.0,625.0,15.0,2529.0,IL
50258,60958,Hopkins Park,9.0,54.0,614.0,21.0,3514.0,IL
50259,60959,Piper City,13.0,81.0,917.0,29.0,4752.0,IL
50260,60960,Rankin,5.0,40.0,454.0,3.0,426.0,IL
50261,60961,Reddick,2.0,8.0,87.0,4.0,616.0,IL
50262,60962,Roberts,9.0,76.0,848.0,21.0,3431.0,IL
50263,60963,Rossville,25.0,204.0,2292.0,13.0,2149.0,IL
50264,60963,Alvan,1.0,5.0,58.0,0.0,0.0,IL
50265,60964,St. Anne,25.0,191.0,2175.0,70.0,11655.0,IL
50266,60964,Sun River Terrace,2.0,17.0,199.0,12.0,2013.0,IL
50267,60964,Papineau,0.0,3.0,32.0,1.0,163.0,IL
50268,60964,Aroma Park,9.0,128.0,1464.0,45.0,7502.0,IL
50269,60966,Sheldon,11.0,177.0,1985.0,7.0,1169.0,IL
50270,60966,Iroquois,5.0,31.0,349.0,11.0,1761.0,IL
50271,60968,Thawville,2.0,12.0,131.0,6.0,1068.0,IL
50272,60969,Union Hill,2.0,7.0,84.0,4.0,594.0,IL
50273,60970,Woodland,4.0,64.0,721.0,3.0,425.0,IL
