,city,housing_units,total_pop,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg,state_id
56414,Sulphur Rock,198.0,413.0,273.0,2665.0,38.0,3254.0,4252312.0,390591.0,AR
56415,Melbourne,660.0,1753.0,879.0,8505.0,138.0,13199.0,13571667.0,1584435.0,AR
56416,Batesville,3999.0,10579.0,5249.0,51126.0,1007.0,87545.0,81579573.0,10509196.0,AR
56417,Franklin,85.0,199.0,113.0,1098.0,8.0,754.0,1751797.0,90572.0,AR
56418,Horseshoe Bend,1121.0,2499.0,1502.0,14538.0,111.0,9977.0,23197934.0,1197638.0,AR
56420,Ash Flat,358.0,1067.0,479.0,4637.0,25.0,2206.0,7398267.0,264783.0,AR
56421,Highland,366.0,1059.0,485.0,4693.0,29.0,2588.0,7487651.0,310725.0,AR
56423,Cherokee Village,2082.0,4669.0,2743.0,26552.0,187.0,16716.0,42367266.0,2006592.0,AR
56424,Pineville,91.0,235.0,115.0,1109.0,16.0,1522.0,1769862.0,182758.0,AR
56425,Calico Rock,442.0,1714.0,559.0,5407.0,77.0,7422.0,8628077.0,890947.0,AR
56426,Sidney,76.0,184.0,101.0,974.0,9.0,793.0,1554797.0,95170.0,AR
56427,Cave City,697.0,2366.0,926.0,8966.0,84.0,7280.0,14305770.0,873906.0,AR
56428,Concord,95.0,187.0,134.0,1306.0,8.0,658.0,2084330.0,78944.0,AR
56432,Hardy,462.0,733.0,605.0,5861.0,42.0,3795.0,9351601.0,455601.0,AR
56434,Evening Shade,184.0,463.0,243.0,2351.0,22.0,1913.0,3751792.0,229649.0,AR
56435,Fifty-Six,69.0,186.0,91.0,880.0,8.0,773.0,1404315.0,92743.0,AR
56437,Guion,37.0,126.0,47.0,452.0,4.0,330.0,721588.0,39660.0,AR
56441,Heber Springs,2560.0,7169.0,3358.0,32709.0,625.0,53957.0,52191855.0,6477119.0,AR
56444,Mammoth Spring,423.0,1111.0,574.0,5558.0,31.0,2799.0,8868099.0,336012.0,AR
56445,Thayer,909.0,2322.0,1184.0,11650.0,61.0,5545.0,11901323.0,665603.0,AR
56446,Mount Pleasant,120.0,408.0,152.0,1470.0,12.0,1074.0,2345162.0,128895.0,AR
56448,Mountain View,1171.0,2838.0,1501.0,14546.0,196.0,18741.0,23209988.0,2249667.0,AR
56452,Newark,508.0,1276.0,701.0,6832.0,97.0,8341.0,10901383.0,1001333.0,AR
56453,Oil Trough,84.0,222.0,117.0,1141.0,8.0,677.0,1821225.0,81322.0,AR
56454,Oxford,243.0,616.0,323.0,3132.0,51.0,4860.0,4996841.0,583360.0,AR
56457,Pleasant Plains,118.0,277.0,164.0,1596.0,11.0,947.0,2546179.0,113692.0,AR
56458,Salem,681.0,1935.0,925.0,8959.0,50.0,4469.0,14296086.0,536422.0,AR
56466,Viola,148.0,430.0,201.0,1944.0,11.0,970.0,3102480.0,116412.0,AR
56468,Harrison,5456.0,13168.0,5629.0,54836.0,2297.0,220095.0,87498780.0,26420756.0,AR
56469,Bergman,147.0,463.0,188.0,1830.0,20.0,1872.0,2920617.0,224706.0,AR
56470,Zinc,41.0,75.0,52.0,511.0,5.0,523.0,815815.0,62767.0,AR
56471,Pyatt,82.0,271.0,95.0,922.0,19.0,1857.0,1470618.0,222896.0,AR
