,zip,city,num_establishments,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,state_id
36385,37877,Jefferson City,42.0,1232.0,21702.0,503.0,113324.0,TN
36386,37879,Harrogate,14.0,199.0,3500.0,81.0,18277.0,TN
36387,37879,New Tazewell,26.0,685.0,12066.0,280.0,63008.0,TN
36388,37879,Tazewell,13.0,1743.0,30689.0,712.0,160252.0,TN
36389,37882,Townsend,8.0,2.0,27.0,1.0,141.0,TN
36390,37885,Vonore,29.0,5559.0,97904.0,2270.0,511234.0,TN
36391,37887,Wartburg,12.0,158.0,2783.0,65.0,14534.0,TN
36392,37890,Baneberry,2.0,5.0,96.0,2.0,501.0,TN
36393,37890,Morristown,195.0,9925.0,174796.0,4053.0,912746.0,TN
36394,37890,White Pine,8.0,265.0,4663.0,108.0,24350.0,TN
36395,37892,Oneida,54.0,786.0,13848.0,321.0,72314.0,TN
36396,37892,Winfield,17.0,27.0,473.0,11.0,2469.0,TN
36397,37902,Knoxville,804.0,50322.0,886226.0,20547.0,4627676.0,TN
36398,37909,Knoxville,804.0,50322.0,886226.0,20547.0,4627676.0,TN
36399,37912,Knoxville,804.0,50322.0,886226.0,20547.0,4627676.0,TN
36400,37914,Knoxville,804.0,50322.0,886226.0,20547.0,4627676.0,TN
36401,37915,Knoxville,804.0,50322.0,886226.0,20547.0,4627676.0,TN
36402,37916,Knoxville,804.0,50322.0,886226.0,20547.0,4627676.0,TN
36403,37917,Knoxville,804.0,50322.0,886226.0,20547.0,4627676.0,TN
36404,37918,Knoxville,804.0,50322.0,886226.0,20547.0,4627676.0,TN
36405,37919,Alcoa,68.0,1976.0,34793.0,807.0,181679.0,TN
36406,37919,Knoxville,804.0,50322.0,886226.0,20547.0,4627676.0,TN
36407,37920,Alcoa,68.0,1976.0,34793.0,807.0,181679.0,TN
36408,37920,Rockford,11.0,664.0,11695.0,271.0,61067.0,TN
36409,37920,Knoxville,804.0,50322.0,886226.0,20547.0,4627676.0,TN
36410,37921,Knoxville,804.0,50322.0,886226.0,20547.0,4627676.0,TN
36411,37922,Alcoa,68.0,1976.0,34793.0,807.0,181679.0,TN
36412,37922,Farragut,79.0,1851.0,32592.0,756.0,170189.0,TN
36413,37922,Knoxville,804.0,50322.0,886226.0,20547.0,4627676.0,TN
36414,37922,Louisville,16.0,49.0,864.0,20.0,4511.0,TN
36415,37923,Knoxville,804.0,50322.0,886226.0,20547.0,4627676.0,TN
36416,37924,Knoxville,804.0,50322.0,886226.0,20547.0,4627676.0,TN
36417,37931,Knoxville,804.0,50322.0,886226.0,20547.0,4627676.0,TN
36418,37931,Oak Ridge,143.0,16013.0,282002.0,6538.0,1472554.0,TN
36419,37932,Farragut,79.0,1851.0,32592.0,756.0,170189.0,TN
36420,37932,Knoxville,804.0,50322.0,886226.0,20547.0,4627676.0,TN
36421,37932,Oak Ridge,143.0,16013.0,282002.0,6538.0,1472554.0,TN
36422,37934,Farragut,79.0,1851.0,32592.0,756.0,170189.0,TN
36423,37934,Knoxville,804.0,50322.0,886226.0,20547.0,4627676.0,TN
36424,38001,Maury City,15.0,86.0,1515.0,35.0,7912.0,TN
36425,38001,Alamo,18.0,122.0,2154.0,50.0,11249.0,TN
36426,38002,Lakeland,30.0,221.0,3893.0,90.0,20329.0,TN
36427,38002,Millington,33.0,231.0,4072.0,94.0,21261.0,TN
36428,38002,Gallaway,15.0,80.0,1406.0,33.0,7342.0,TN
36429,38002,Bartlett,161.0,3132.0,55159.0,1279.0,288030.0,TN
36430,38002,Memphis,2224.0,137475.0,2421082.0,56132.0,12642355.0,TN
36431,38002,Arlington,30.0,3570.0,62876.0,1458.0,328327.0,TN
36432,38004,Munford,20.0,43.0,758.0,18.0,3959.0,TN
36433,38004,Brighton,5.0,34.0,595.0,14.0,3106.0,TN
36434,38004,Atoka,21.0,48.0,839.0,19.0,4380.0,TN
36435,38006,Bells,9.0,96.0,1694.0,39.0,8846.0,TN
36436,38006,Alamo,18.0,122.0,2154.0,50.0,11249.0,TN
36437,38008,Bolivar,25.0,938.0,16513.0,383.0,86230.0,TN
36438,38008,Hornsby,3.0,9.0,166.0,4.0,867.0,TN
36439,38011,Covington,57.0,4601.0,81028.0,1879.0,423110.0,TN
36440,38011,Gilt Edge,6.0,7.0,120.0,3.0,628.0,TN
36441,38011,Brighton,5.0,34.0,595.0,14.0,3106.0,TN
36442,38011,Atoka,21.0,48.0,839.0,19.0,4380.0,TN
36443,38012,Brownsville,63.0,4168.0,73408.0,1702.0,383322.0,TN
36444,38015,Garland,6.0,10.0,177.0,4.0,926.0,TN
36445,38015,Burlison,4.0,7.0,128.0,3.0,669.0,TN
36446,38015,Gilt Edge,6.0,7.0,120.0,3.0,628.0,TN
36447,38016,Lakeland,30.0,221.0,3893.0,90.0,20329.0,TN
36448,38016,Memphis,2224.0,137475.0,2421082.0,56132.0,12642355.0,TN
36449,38017,Rossville,15.0,1188.0,20919.0,485.0,109236.0,TN
36450,38017,Piperton,13.0,355.0,6253.0,145.0,32650.0,TN
36451,38017,Collierville,178.0,4561.0,80316.0,1862.0,419395.0,TN
36452,38017,Germantown,156.0,2574.0,45322.0,1051.0,236664.0,TN
36453,38018,Memphis,2224.0,137475.0,2421082.0,56132.0,12642355.0,TN
36454,38019,Garland,6.0,10.0,177.0,4.0,926.0,TN
36455,38019,Burlison,4.0,7.0,128.0,3.0,669.0,TN
36456,38019,Covington,57.0,4601.0,81028.0,1879.0,423110.0,TN
36457,38023,Millington,33.0,231.0,4072.0,94.0,21261.0,TN
36458,38023,Munford,20.0,43.0,758.0,18.0,3959.0,TN
36459,38024,Dyersburg,99.0,5081.0,89480.0,2075.0,467242.0,TN
36460,38028,Oakland,31.0,626.0,11026.0,256.0,57576.0,TN
36461,38028,Collierville,178.0,4561.0,80316.0,1862.0,419395.0,TN
36462,38028,Memphis,2224.0,137475.0,2421082.0,56132.0,12642355.0,TN
36463,38028,Germantown,156.0,2574.0,45322.0,1051.0,236664.0,TN
36464,38028,Arlington,30.0,3570.0,62876.0,1458.0,328327.0,TN
36465,38034,Maury City,15.0,86.0,1515.0,35.0,7912.0,TN
36466,38034,Bells,9.0,96.0,1694.0,39.0,8846.0,TN
36467,38034,Friendship,10.5,81.75,1441.75,33.5,7528.5,TN
36468,38036,Gallaway,15.0,80.0,1406.0,33.0,7342.0,TN
36469,38037,Gates,3.0,65.0,1152.0,27.0,6014.0,TN
36470,38037,Halls,28.0,396.0,6966.0,162.0,36376.0,TN
36471,38039,Saulsbury,33.25,1392.25,24520.25,568.75,128039.25,TN
36472,38039,La Grange,33.25,1392.25,24520.25,568.75,128039.25,TN
36473,38039,Grand Junction,3.0,27.0,483.0,11.0,2525.0,TN
36474,38040,Dyersburg,99.0,5081.0,89480.0,2075.0,467242.0,TN
36475,38040,Halls,28.0,396.0,6966.0,162.0,36376.0,TN
36476,38041,Henning,6.0,42.0,734.0,17.0,3830.0,TN
36477,38042,Hickory Valley,10.0,112.75,1985.75,46.25,10368.5,TN
36478,38044,Hornsby,3.0,9.0,166.0,4.0,867.0,TN
36479,38049,Braden,3.0,4.0,77.0,2.0,401.0,TN
36480,38049,Gallaway,15.0,80.0,1406.0,33.0,7342.0,TN
36481,38049,Mason,3.0,23.0,398.0,9.0,2076.0,TN
36482,38049,Arlington,30.0,3570.0,62876.0,1458.0,328327.0,TN
36483,38052,Middleton,3.0,2.0,40.0,1.0,208.0,TN
36484,38053,Millington,33.0,231.0,4072.0,94.0,21261.0,TN
36485,38053,Munford,20.0,43.0,758.0,18.0,3959.0,TN
36486,38053,Bartlett,161.0,3132.0,55159.0,1279.0,288030.0,TN
36487,38053,Atoka,21.0,48.0,839.0,19.0,4380.0,TN
36488,38053,Memphis,2224.0,137475.0,2421082.0,56132.0,12642355.0,TN
36489,38057,Moscow,8.0,75.0,1312.0,30.0,6852.0,TN
36490,38057,Williston,4.0,2.0,30.0,1.0,154.0,TN
36491,38057,La Grange,9.25,38.5,673.75,15.75,3517.75,TN
36492,38058,Munford,20.0,43.0,758.0,18.0,3959.0,TN
36493,38058,Brighton,5.0,34.0,595.0,14.0,3106.0,TN
36494,38058,Atoka,21.0,48.0,839.0,19.0,4380.0,TN
36495,38059,Newbern,26.0,1049.0,18478.0,428.0,96490.0,TN
36496,38059,Yorkville,7.0,14.0,249.0,6.0,1299.0,TN
36497,38060,Oakland,31.0,626.0,11026.0,256.0,57576.0,TN
36498,38060,Somerville,30.0,154.0,2705.0,63.0,14126.0,TN
36499,38063,Henning,6.0,42.0,734.0,17.0,3830.0,TN
36500,38063,Ripley,50.0,2168.0,38173.0,885.0,199333.0,TN
36501,38066,Rossville,15.0,1188.0,20919.0,485.0,109236.0,TN
36502,38066,Piperton,13.0,355.0,6253.0,145.0,32650.0,TN
36503,38067,Saulsbury,15.75,542.75,9557.0,221.75,49904.0,TN
36504,38068,Oakland,31.0,626.0,11026.0,256.0,57576.0,TN
36505,38068,Williston,4.0,2.0,30.0,1.0,154.0,TN
36506,38068,Somerville,30.0,154.0,2705.0,63.0,14126.0,TN
36507,38069,Stanton,1.0,0.0,6.0,0.0,31.0,TN
36508,38075,Whiteville,16.0,61.25,1079.5,25.0,5637.5,TN
36509,38079,Tiptonville,19.0,36.0,637.0,15.0,3327.0,TN
36510,38080,Ridgely,14.0,55.0,970.0,22.0,5066.0,TN
36511,38103,Memphis,2224.0,137475.0,2421082.0,56132.0,12642355.0,TN
36512,38104,Memphis,2224.0,137475.0,2421082.0,56132.0,12642355.0,TN
36513,38105,Memphis,2224.0,137475.0,2421082.0,56132.0,12642355.0,TN
36514,38106,West Memphis,115.0,2836.0,46663.0,1461.0,252716.0,TN
36515,38106,Memphis,2224.0,137475.0,2421082.0,56132.0,12642355.0,TN
36516,38107,Memphis,2224.0,137475.0,2421082.0,56132.0,12642355.0,TN
36517,38108,Memphis,2224.0,137475.0,2421082.0,56132.0,12642355.0,TN
36518,38109,Southaven,134.0,3086.0,53261.0,1674.0,384871.0,TN
36519,38109,Memphis,2224.0,137475.0,2421082.0,56132.0,12642355.0,TN
36520,38111,Memphis,2224.0,137475.0,2421082.0,56132.0,12642355.0,TN
36521,38112,Memphis,2224.0,137475.0,2421082.0,56132.0,12642355.0,TN
36522,38114,Memphis,2224.0,137475.0,2421082.0,56132.0,12642355.0,TN
36523,38115,Memphis,2224.0,137475.0,2421082.0,56132.0,12642355.0,TN
36524,38116,Southaven,134.0,3086.0,53261.0,1674.0,384871.0,TN
36525,38116,Memphis,2224.0,137475.0,2421082.0,56132.0,12642355.0,TN
36526,38117,Memphis,2224.0,137475.0,2421082.0,56132.0,12642355.0,TN
36527,38118,Olive Branch,147.0,7698.0,132863.0,4176.0,960087.0,TN
36528,38118,Southaven,134.0,3086.0,53261.0,1674.0,384871.0,TN
36529,38118,Memphis,2224.0,137475.0,2421082.0,56132.0,12642355.0,TN
36530,38119,Memphis,2224.0,137475.0,2421082.0,56132.0,12642355.0,TN
