state_id,city,housing_units,total_pop,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg,elec_degree,gas_degree
OR,Sheridan,1584.0,6054.0,2048.0,18113.0,329.0,27986.0,22341489.0,3359546.0,1,1
OR,Sherwood,6503.0,18965.0,7424.0,65129.0,3425.0,291254.0,80331901.0,34962961.0,2,1
OR,Siletz,473.0,1599.0,523.0,5341.0,44.0,3703.0,6587501.0,444478.0,1,1
OR,Silverton,3642.0,9585.0,4864.0,42772.0,1266.0,107617.0,52756157.0,12918595.0,1,1
OR,Sisters,620.0,2330.0,891.0,8258.0,88.0,9584.0,10185333.0,1150465.0,1,1
OR,Sodaville,110.0,395.0,148.0,1348.0,25.0,2145.0,1662950.0,257492.0,1,1
OR,Spray,73.0,165.0,82.0,814.0,1.0,106.0,1004484.0,12749.0,1,1
OR,Springfield,23931.0,60611.0,23776.0,148728.62,2726.0,231792.0,222856152.36,27824976.0,3,1
OR,St. Helens,4642.0,13169.0,4807.0,42553.0,1339.0,114865.0,52485536.0,13788673.0,1,1
OR,St. Paul,130.0,389.0,221.0,1943.0,12.0,980.0,2396243.0,117608.0,1,1
OR,Stanfield,754.0,2395.0,1033.0,9424.0,141.0,15356.0,11623146.0,1843338.0,1,1
OR,Stayton,2816.0,7875.0,3534.0,31002.0,916.0,77868.0,38239035.0,9347449.0,1,1
OR,Sublimity,1153.0,2845.0,1468.0,13048.0,303.0,25805.0,16093658.0,3097723.0,1,1
OR,Summerville,39.0,111.0,45.0,414.0,3.0,221.0,511219.0,26501.0,1,1
OR,Sumpter,204.0,198.0,253.0,2569.0,26.0,1988.0,3168893.0,238646.0,1,1
OR,Sutherlin,3138.0,7883.0,3951.0,35786.0,651.0,49038.0,44139078.0,5886628.0,1,1
OR,Sweet Home,3613.0,9171.0,4277.0,38681.0,1017.0,86466.0,47709794.0,10379595.0,1,1
OR,Talent,2753.0,6323.0,3254.0,29427.0,850.0,64016.0,36296388.0,7684632.0,1,1
OR,Tangent,381.0,1172.0,429.0,3881.0,110.0,9393.0,4786358.0,1127620.0,1,1
OR,The Dalles,6046.0,15276.0,5464.0,82991.0,926.0,78742.0,102363195.0,9452377.0,2,1
OR,Tigard,19992.0,50787.0,20973.0,148728.62,8537.0,725970.0,222856152.36,87147423.0,3,2
OR,Tillamook,1852.0,5063.0,2163.0,20118.0,113.0,9594.0,24813967.0,1151746.0,1,1
OR,Toledo,1245.0,3498.0,1477.0,15324.0,196.0,16678.0,18900491.0,2002099.0,1,1
OR,Troutdale,5850.0,16535.0,7005.0,61454.0,2532.0,215348.0,75798829.0,25850938.0,2,1
OR,Tualatin,10721.0,27024.0,11605.0,101802.0,4286.0,364472.0,125564199.0,43752150.0,3,1
OR,Turner,749.0,2304.0,1064.0,9336.0,230.0,19579.0,11515305.0,2350374.0,1,1
OR,Ukiah,83.0,243.0,101.0,917.0,24.0,2619.0,1131039.0,314343.0,1,1
OR,Umatilla,1640.0,6986.0,2294.0,20840.0,261.0,25731.0,25703976.0,3088771.0,1,1
OR,Union,768.0,2182.0,879.0,8000.0,316.0,23806.0,9867627.0,2857787.0,1,1
OR,Unity,38.0,66.0,48.0,485.0,5.0,376.0,598683.0,45086.0,1,1
OR,Vale,653.0,2087.0,896.0,8894.0,153.0,16630.0,10970446.0,1996279.0,1,1
OR,Vancouver,31282.47,84618.63,37072.95,148728.62,13191.0,1307030.0,222856152.36,156899396.0,3,3
OR,Veneta,1688.0,4741.0,2634.0,26060.0,120.0,10189.0,32142757.0,1223161.0,1,1
OR,Vernonia,774.0,1895.0,755.0,7167.0,206.0,17545.0,8840266.0,2106207.0,1,1
OR,Waldport,890.0,2145.0,1014.0,10765.0,58.0,4944.0,13277222.0,593435.0,1,1
OR,Wallowa,296.0,680.0,370.0,3388.0,7.0,627.0,4179150.0,75318.0,1,1
OR,Warrenton,2022.0,5260.0,1905.0,17228.0,665.0,56555.0,21248853.0,6788988.0,1,1
OR,Wasco,182.0,381.0,236.0,2137.0,13.0,1142.0,2635505.0,137078.0,1,1
OR,Washougal,5412.0,14987.0,6438.0,69567.0,1472.0,145868.0,85805439.0,17510404.0,2,1
OR,Waterloo,79.0,242.0,107.0,969.0,18.0,1542.0,1195675.0,185139.0,1,1
OR,West Linn,9952.0,26242.0,12068.0,105867.0,6235.0,530246.0,130578665.0,63652150.0,3,1
OR,Westfir,118.0,288.0,156.0,1541.0,2.0,180.0,1900694.0,21648.0,1,1
OR,Weston,192.0,751.0,267.0,2440.0,33.0,3569.0,3009526.0,428391.0,1,1
OR,Wheeler,112.0,422.0,132.0,1180.0,7.0,564.0,1455614.0,67707.0,1,1
OR,Willamina,709.0,1899.0,939.0,8319.0,137.0,11637.0,10260314.0,1396946.0,1,1
OR,Wilsonville,8682.0,21814.0,9340.0,81939.0,3163.0,268972.0,101064903.0,32288088.0,2,1
OR,Winston,2167.0,5364.0,2827.0,25607.0,402.0,30325.0,31584220.0,3640237.0,1,1
OR,Wood Village,1243.0,3996.0,1538.0,13489.0,379.0,32232.0,16637341.0,3869186.0,1,1
OR,Woodburn,7776.0,24765.0,9624.0,84426.0,2656.0,225846.0,104132609.0,27111206.0,2,1
OR,Yachats,447.0,648.0,480.0,5097.0,0.0,0.0,6286349.0,0.0,1,1
OR,Yamhill,356.0,1174.0,538.0,4785.0,47.0,4038.0,5901806.0,484699.0,1,1
OR,Yoncalla,430.0,1109.0,576.0,5249.0,20.0,1693.0,6474691.0,203284.0,1,1
PA,Abbott,178.0,444.0,204.0,1568.0,101.0,8861.0,3022467.0,1063727.0,1,1
PA,Abbottstown,355.0,926.0,537.0,4009.0,160.0,12648.0,7725088.0,1518316.0,1,1
PA,Abington,20955.0,55429.0,32428.0,148728.62,13034.0,1384154.0,222856152.36,166157521.0,3,3
PA,Adams,7348.0,17934.0,10808.0,80363.0,3648.0,394121.0,143020644.0,47311237.0,2,1
PA,Adamsburg,83.0,173.0,103.0,884.0,44.0,4150.0,1506976.0,498130.0,1,1
PA,Adamstown,761.0,2112.0,1161.0,8521.0,117.0,12712.0,16421500.0,1525983.0,1,1
PA,Addison,569.0,1542.0,831.0,5556.0,73.0,5780.0,10706838.0,693760.0,1,1
PA,Akron,1614.0,3956.0,2433.0,17782.0,104.0,11344.0,34268345.0,1361722.0,1,1
PA,Alba,55.0,120.0,72.0,478.0,30.0,2588.0,921906.0,310682.0,1,1
PA,Albany,1039.0,2699.0,1615.0,11545.0,126.0,13742.0,22249205.0,1649619.0,1,1
PA,Albion,656.0,1531.0,759.0,5060.0,374.0,49919.0,9750509.0,5992435.0,1,1
PA,Alburtis,925.0,2454.0,1581.0,11554.0,216.0,23589.0,22265542.0,2831634.0,1,1
PA,Aldan,1696.0,4170.0,2239.0,15143.0,929.0,104715.0,29183146.0,12570322.0,1,1
PA,Aleppo,1213.0,2645.0,1715.0,11673.0,881.0,85566.0,19900616.0,10271582.0,1,1
PA,Alexandria,1776.0,5063.0,2815.0,20147.0,140.0,16530.0,38825024.0,1984252.0,1,1
PA,Aliquippa,4209.0,9258.0,5302.0,34141.0,2846.0,282932.0,58207532.0,33963879.0,1,1
PA,Allegany,3139.0,8237.0,3102.0,23736.0,1541.0,189462.0,42941070.0,22743461.0,1,1
PA,Allegheny,7483.0,20176.0,10356.0,78674.0,3209.0,345954.0,143284370.0,41529243.0,2,1
PA,Allen,1768.0,4135.0,3128.0,22954.0,349.0,38109.0,44235970.0,4574685.0,1,1
PA,Allenport,229.0,468.0,292.0,2499.0,155.0,15022.0,4260254.0,1803310.0,1,1
PA,Allentown,31282.47,84618.63,37072.95,148728.62,11637.0,1269309.0,222856152.36,152371309.0,3,3
PA,Allison,74.0,177.0,111.0,814.0,16.0,1369.0,1387860.0,164365.0,1,1
PA,Alma,463.0,1145.0,431.0,3294.0,258.0,34992.0,5931532.0,4200511.0,1,1
PA,Alsace,1517.0,3722.0,2425.0,17972.0,113.0,12355.0,34633959.0,1483182.0,1,1
