,city,housing_units,total_pop,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg,state_id,lof_score_100,lof_score_500,lof_score_1000
57894,Weston,217.0,335.0,399.0,3572.0,17.0,1423.0,4783182.0,170779.0,TX,-0.9908733589278775,-1.0009570563508956,-1.0174623561733727
57895,Pilot Point,1493.0,4202.0,2556.0,23065.0,296.0,24555.0,30884665.0,2947685.0,TX,-0.9814002074503593,-1.0029455426187852,-1.0456411831050927
57896,Gunter,453.0,1363.0,827.0,7455.0,90.0,7465.0,9981728.0,896084.0,TX,-0.996161515193881,-0.9936829355363261,-1.0099708515493826
57897,McKinney,53362.0,156821.0,88469.0,797051.0,21746.0,1836321.0,1067251870.0,220436885.0,TX,-1.2697987565149,-2.5508918940156424,-3.989509538366341
57898,Celina,2421.0,7236.0,4511.0,40783.0,958.0,81219.0,54608590.0,9749804.0,TX,-1.0277878968464949,-1.0207150683977277,-1.0735096060334912
57899,Anna,3206.0,10335.0,6102.0,54590.0,710.0,58844.0,73096102.0,7063827.0,TX,-1.008052150044377,-1.0580264558634436,-1.1368267215358254
57902,The Colony,14561.0,40757.0,24572.0,222524.0,3846.0,324873.0,297960091.0,38998619.0,TX,-1.02208250710201,-1.2580269648931799,-1.4841750016878663
57906,Frisco,48478.0,145646.0,84710.0,767130.0,23401.0,1982958.0,1027187429.0,238039556.0,TX,-1.2642947815345327,-2.4530571729786645,-3.834788862821069
57912,Grapevine,19453.0,50538.0,33682.0,302252.0,6976.0,578301.0,404715464.0,69420826.0,TX,-1.0195758616903294,-1.3037913878557106,-1.6733507448269953
57915,Sherman,14793.0,40112.0,21889.0,195879.0,4518.0,374515.0,262281569.0,44957771.0,TX,-1.0051424431447151,-1.1829028536631732,-1.3619823259610653
57916,Pottsboro,757.0,2404.0,1315.0,11769.0,158.0,13111.0,15758189.0,1573834.0,TX,-1.0155755482899225,-0.9895193868278309,-1.0089601241139274
57917,Denison,9246.0,23080.0,13948.0,124787.0,3425.0,283913.0,167090310.0,34081660.0,TX,-1.0018322950271468,-1.0626753877566588,-1.172840700506719
57920,Double Oak,953.0,3028.0,2067.0,18720.0,460.0,38941.0,25066627.0,4674592.0,TX,-1.0810492344208908,-1.0264790841956941,-1.0326063447153602
57921,Flower Mound,23055.0,69966.0,44727.0,404850.0,13064.0,1085811.0,542094886.0,130343686.0,TX,-1.0517658001318317,-1.4350378490248954,-2.0063495656582266
57922,Bartonville,601.0,1916.0,1233.0,11260.0,230.0,19523.0,15076790.0,2343638.0,TX,-1.0684575709727502,-1.0135117830950182,-1.0119602561666916
57933,Highland Village,5169.0,16020.0,10371.0,93921.0,2888.0,243217.0,125760532.0,29196405.0,TX,-1.036184394681417,-1.0499740313524761,-1.107068751336021
57937,Fate,2282.0,9234.0,4440.0,39792.0,710.0,58835.0,53281012.0,7062727.0,TX,-0.9985283306574284,-1.0241741866038006,-1.090333016448908
57938,McLendon-Chisholm,511.0,2005.0,1052.0,9426.0,162.0,13439.0,12621622.0,1613206.0,TX,-1.0261243663137434,-0.9931160243219351,-1.0002972734631455
57939,Heath,2632.0,7992.0,5079.0,45512.0,915.0,75819.0,60940165.0,9101505.0,TX,-1.0201972584271204,-1.0249642944103716,-1.1052632614181217
57940,Rockwall,14679.0,41672.0,26637.0,238748.0,4673.0,387387.0,319683396.0,46503023.0,TX,-1.0391810761765785,-1.2617736026994895,-1.5146090393225358
57942,Hackberry,557.0,2022.0,915.0,8289.0,242.0,20478.0,11099590.0,2458242.0,TX,-1.0527814182484878,-1.1184075012629262,-1.0340834087500594
57943,Little Elm,11364.0,35553.0,20050.0,181568.0,3957.0,335258.0,243120216.0,40245258.0,TX,-1.0114361535174883,-1.1761748086641406,-1.3261939879420108
57949,Prosper,4508.0,15236.0,8110.0,73339.0,2310.0,194468.0,98201551.0,23344417.0,TX,-1.0117573225478502,-1.0262966074745146,-1.0825192775184724
57950,Euless,20747.0,53675.0,29110.0,260868.0,3718.0,308260.0,349302004.0,37004322.0,TX,-1.0599768903564661,-1.320674848385433,-1.624682337972917
