state_abbr,type,series_id,name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ME,residential,EMISS.CO2-TOTV-RC-TO-ME.A,"Residential carbon dioxide emissions, all fuels, Maine",2.976557,2.414413,2.3259689999999997,1.602607,2.0732009999999996,2.797862,3.090928,3.086554,3.4118410000000003,3.1953099999999997,2.957484,2.9621720000000002,2.980861,3.096527,3.1713299999999998,3.899675,4.012378,3.881525,4.18585,3.9842470000000003,3.8610839999999995,3.8424699999999996,3.452744,4.732572,5.141099,4.587356,3.976829,3.8032220000000003,3.079629,2.902507,2.62927,2.692662,2.221376,2.383913,2.53786,3.009693,2.924834
ME,industrial,EMISS.CO2-TOTV-IC-TO-ME.A,"Industrial carbon dioxide emissions, all fuels, Maine",2.7381860000000002,3.270405,6.5433069999999995,2.943911,3.684589,2.445459,4.616162999999999,3.244592,3.888968,3.679642,3.5031980000000003,4.137622,5.523093,5.219195,6.501124,5.085257,5.237501,4.578837,3.861526,3.562739,4.492833,3.6692720000000003,4.108203,2.501532,3.5138910000000005,3.287409,3.443311,3.4701989999999996,3.247442,2.906915,2.797017,2.676349,2.4329520000000002,2.405362,1.941509,1.6854049999999998,1.504293
ME,transportation,EMISS.CO2-TOTV-TC-TO-ME.A,"Transportation carbon dioxide emissions, all fuels, Maine",5.931494,5.890121,6.134067,5.963145,6.342058,6.69462,7.181888000000001,7.722931,8.755517,7.861244999999999,8.244407,7.553016,7.444047,7.553771,7.67748,7.274348,7.5111479999999995,7.881829,7.699745,7.955660000000001,8.552638,7.633724000000001,8.72908,9.314921,8.642201,9.32804,9.341936,8.924569,8.035884,8.398852999999999,8.376745,8.260003999999999,7.868364,8.760664,8.803599,8.789984,8.921667999999999
ME,total,EMISS.CO2-TOTV-TT-TO-ME.A,"Total carbon dioxide emissions from all sectors, all fuels, Maine",14.776853,14.568112,17.757251,13.485999999999999,15.372060000000001,14.903892,18.828877,17.603818,20.668446,19.371463000000002,19.116529,18.633385,19.45018,18.979266,20.398215,19.045333,19.555674,19.788473,19.449951000000002,20.466287,22.363891,22.478033,24.003466,23.650089,24.008399,23.128772,21.263799,20.958948,19.089214000000002,18.397520999999998,18.093761999999998,17.554396,15.831098,16.601329999999997,16.647910999999997,16.856806,16.461775
VT,commercial,EMISS.CO2-TOTV-CC-TO-VT.A,"Commercial carbon dioxide emissions, all fuels, Vermont",0.504909,0.45887700000000003,0.407562,0.344906,0.413541,0.511072,0.523282,0.5740569999999999,0.604891,0.6404340000000001,0.582693,0.649378,0.734456,0.684057,0.67679,0.5932729999999999,0.660084,0.705275,0.754864,0.703341,0.7628229999999999,0.7868229999999999,0.730533,0.773688,0.826184,0.715259,0.673768,0.676718,0.614923,0.663802,0.6193810000000001,0.632999,0.598166,0.753306,0.786193,0.9881909999999999,0.854399
VT,electric,EMISS.CO2-TOTV-EC-TO-VT.A,"Electric power carbon dioxide emissions, all fuels, Vermont",0.061747,0.054511000000000004,0.090275,0.086385,0.11620499999999999,0.086515,0.048919,0.030211000000000002,0.03204,0.023375999999999997,0.040644,0.063652,0.045479,0.021335,0.018609999999999998,0.023707,0.008076,0.01515,0.055853,0.040708,0.122651,0.043315,0.015256,0.025783999999999998,0.021851,0.006659,0.005083,0.00511,0.005201,0.005101,0.005261,0.005748,0.0032770000000000004,0.005699,0.005202,0.003036,0.0040880000000000005
VT,residential,EMISS.CO2-TOTV-RC-TO-VT.A,"Residential carbon dioxide emissions, all fuels, Vermont",1.161241,1.080015,0.811005,1.108502,1.357169,1.484018,1.203671,1.256484,1.350458,1.476266,1.385095,1.452037,1.581426,1.5420909999999999,1.4688620000000001,1.420008,1.493114,1.459185,1.387981,1.3651010000000001,1.582578,1.568257,1.47068,1.5754709999999998,1.7666380000000002,1.629256,1.521501,1.492065,1.307416,1.466702,1.30019,1.266572,1.095797,1.2612729999999999,1.378068,1.4130559999999999,1.302583
VT,industrial,EMISS.CO2-TOTV-IC-TO-VT.A,"Industrial carbon dioxide emissions, all fuels, Vermont",0.5261359999999999,0.494044,0.541265,0.485537,0.51197,0.477997,0.628159,0.585549,0.606204,0.526065,0.488483,0.4826,0.5621010000000001,0.5728770000000001,0.45178500000000005,0.41395200000000004,0.43710200000000005,0.691248,0.48271800000000004,0.6513899999999999,0.5974149999999999,0.518601,0.500021,0.531762,0.619178,0.623007,0.623263,0.531068,0.519732,0.49615699999999996,0.518573,0.563049,0.501587,0.41598199999999996,0.44996499999999995,0.41830100000000003,0.424184
VT,transportation,EMISS.CO2-TOTV-TC-TO-VT.A,"Transportation carbon dioxide emissions, all fuels, Vermont",2.411241,2.421361,2.253597,2.424569,2.589566,2.626893,2.677957,3.032755,3.148368,2.992016,2.99657,3.029077,3.215465,3.3867,3.4158510000000004,3.550324,3.68706,3.619093,3.5750949999999997,3.739275,3.685521,3.695329,3.641746,3.695331,3.798843,3.83521,3.86005,3.806708,3.495942,3.5441620000000005,3.452378,3.3535459999999997,3.266477,3.322913,3.2825800000000003,3.3387800000000003,3.369677
VT,total,EMISS.CO2-TOTV-TT-TO-VT.A,"Total carbon dioxide emissions from all sectors, all fuels, Vermont",4.665274,4.508807,4.103705000000001,4.449898,4.988452,5.186495,5.081989,5.479056,5.74196,5.658157,5.493484,5.676744,6.1389260000000005,6.20706,6.031897,6.001264,6.285436,6.489952,6.256511,6.499816,6.750986999999999,6.612325,6.358235,6.602036,7.0326949999999995,6.809392,6.683664,6.511669,5.943214,6.175924,5.895783,5.821912,5.465304,5.7591730000000005,5.902009,6.161364,5.954931
