state_abbr,type,series_id,name,units,f,unitsshort,description,copyright,source,iso3166,geography,start,end,updated,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ME,industrial,EMISS.CO2-TOTV-IC-TO-ME.A,"Industrial carbon dioxide emissions, all fuels, Maine",million metric tons CO2,A,mmt CO2,See http://www.eia.gov/environment/emissions/state/analysis/ for technical notes and documentation.,None,"EIA, U.S. Energy Information Administration",USA-ME,USA-ME,1980,2016,2018-12-12T09:19:26-0500,2.738186,3.270405,6.543307,2.943911,3.684589,2.445459,4.616163,3.244592,3.888968,3.679642,3.503198,4.137622,5.523093,5.219195,6.501124,5.085257,5.237501,4.578837,3.861526,3.562739,4.492833,3.669272,4.108203,2.501532,3.513891,3.287409,3.443311,3.470199,3.247442,2.906915,2.797017,2.676349,2.432952,2.405362,1.941509,1.685405,1.504293
ME,transportation,EMISS.CO2-TOTV-TC-TO-ME.A,"Transportation carbon dioxide emissions, all fuels, Maine",million metric tons CO2,A,mmt CO2,See http://www.eia.gov/environment/emissions/state/analysis/ for technical notes and documentation.,None,"EIA, U.S. Energy Information Administration",USA-ME,USA-ME,1980,2016,2018-12-12T09:19:26-0500,5.931494,5.890121,6.134067,5.963145,6.342058,6.69462,7.181888,7.722931,8.755517,7.861245,8.244407,7.553016,7.444047,7.553771,7.67748,7.274348,7.511148,7.881829,7.699745,7.95566,8.552638,7.633724,8.72908,9.314921,8.642201,9.32804,9.341936,8.924569,8.035884,8.398853,8.376745,8.260004,7.868364,8.760664,8.803599,8.789984,8.921668
ME,total,EMISS.CO2-TOTV-TT-TO-ME.A,"Total carbon dioxide emissions from all sectors, all fuels, Maine",million metric tons CO2,A,mmt CO2,See http://www.eia.gov/environment/emissions/state/analysis/ for technical notes and documentation.,None,"EIA, U.S. Energy Information Administration",USA-ME,USA-ME,1980,2016,2018-12-12T09:19:26-0500,14.776853,14.568112,17.757251,13.486,15.37206,14.903892,18.828877,17.603818,20.668446,19.371463,19.116529,18.633385,19.45018,18.979266,20.398215,19.045333,19.555674,19.788473,19.449951,20.466287,22.363891,22.478033,24.003466,23.650089,24.008399,23.128772,21.263799,20.958948,19.089214,18.397521,18.093762,17.554396,15.831098,16.60133,16.647911,16.856806,16.461775
VT,commercial,EMISS.CO2-TOTV-CC-TO-VT.A,"Commercial carbon dioxide emissions, all fuels, Vermont",million metric tons CO2,A,mmt CO2,See http://www.eia.gov/environment/emissions/state/analysis/ for technical notes and documentation.,None,"EIA, U.S. Energy Information Administration",USA-VT,USA-VT,1980,2016,2018-12-12T09:19:26-0500,0.504909,0.458877,0.407562,0.344906,0.413541,0.511072,0.523282,0.574057,0.604891,0.640434,0.582693,0.649378,0.734456,0.684057,0.67679,0.593273,0.660084,0.705275,0.754864,0.703341,0.762823,0.786823,0.730533,0.773688,0.826184,0.715259,0.673768,0.676718,0.614923,0.663802,0.619381,0.632999,0.598166,0.753306,0.786193,0.988191,0.854399
VT,electric,EMISS.CO2-TOTV-EC-TO-VT.A,"Electric power carbon dioxide emissions, all fuels, Vermont",million metric tons CO2,A,mmt CO2,See http://www.eia.gov/environment/emissions/state/analysis/ for technical notes and documentation.,None,"EIA, U.S. Energy Information Administration",USA-VT,USA-VT,1980,2016,2018-12-12T09:19:26-0500,0.061747,0.054511,0.090275,0.086385,0.116205,0.086515,0.048919,0.030211,0.03204,0.023376,0.040644,0.063652,0.045479,0.021335,0.01861,0.023707,0.008076,0.01515,0.055853,0.040708,0.122651,0.043315,0.015256,0.025784,0.021851,0.006659,0.005083,0.00511,0.005201,0.005101,0.005261,0.005748,0.003277,0.005699,0.005202,0.003036,0.004088
VT,residential,EMISS.CO2-TOTV-RC-TO-VT.A,"Residential carbon dioxide emissions, all fuels, Vermont",million metric tons CO2,A,mmt CO2,See http://www.eia.gov/environment/emissions/state/analysis/ for technical notes and documentation.,None,"EIA, U.S. Energy Information Administration",USA-VT,USA-VT,1980,2016,2018-12-12T09:19:26-0500,1.161241,1.080015,0.811005,1.108502,1.357169,1.484018,1.203671,1.256484,1.350458,1.476266,1.385095,1.452037,1.581426,1.542091,1.468862,1.420008,1.493114,1.459185,1.387981,1.365101,1.582578,1.568257,1.47068,1.575471,1.766638,1.629256,1.521501,1.492065,1.307416,1.466702,1.30019,1.266572,1.095797,1.261273,1.378068,1.413056,1.302583
VT,industrial,EMISS.CO2-TOTV-IC-TO-VT.A,"Industrial carbon dioxide emissions, all fuels, Vermont",million metric tons CO2,A,mmt CO2,See http://www.eia.gov/environment/emissions/state/analysis/ for technical notes and documentation.,None,"EIA, U.S. Energy Information Administration",USA-VT,USA-VT,1980,2016,2018-12-12T09:19:26-0500,0.526136,0.494044,0.541265,0.485537,0.51197,0.477997,0.628159,0.585549,0.606204,0.526065,0.488483,0.4826,0.562101,0.572877,0.451785,0.413952,0.437102,0.691248,0.482718,0.65139,0.597415,0.518601,0.500021,0.531762,0.619178,0.623007,0.623263,0.531068,0.519732,0.496157,0.518573,0.563049,0.501587,0.415982,0.449965,0.418301,0.424184
VT,transportation,EMISS.CO2-TOTV-TC-TO-VT.A,"Transportation carbon dioxide emissions, all fuels, Vermont",million metric tons CO2,A,mmt CO2,See http://www.eia.gov/environment/emissions/state/analysis/ for technical notes and documentation.,None,"EIA, U.S. Energy Information Administration",USA-VT,USA-VT,1980,2016,2018-12-12T09:19:26-0500,2.411241,2.421361,2.253597,2.424569,2.589566,2.626893,2.677957,3.032755,3.148368,2.992016,2.99657,3.029077,3.215465,3.3867,3.415851,3.550324,3.68706,3.619093,3.575095,3.739275,3.685521,3.695329,3.641746,3.695331,3.798843,3.83521,3.86005,3.806708,3.495942,3.544162,3.452378,3.353546,3.266477,3.322913,3.28258,3.33878,3.369677
VT,total,EMISS.CO2-TOTV-TT-TO-VT.A,"Total carbon dioxide emissions from all sectors, all fuels, Vermont",million metric tons CO2,A,mmt CO2,See http://www.eia.gov/environment/emissions/state/analysis/ for technical notes and documentation.,None,"EIA, U.S. Energy Information Administration",USA-VT,USA-VT,1980,2016,2018-12-12T09:19:26-0500,4.665274,4.508807,4.103705,4.449898,4.988452,5.186495,5.081989,5.479056,5.74196,5.658157,5.493484,5.676744,6.138926,6.20706,6.031897,6.001264,6.285436,6.489952,6.256511,6.499816,6.750987,6.612325,6.358235,6.602036,7.032695,6.809392,6.683664,6.511669,5.943214,6.175924,5.895783,5.821912,5.465304,5.759173,5.902009,6.161364,5.954931
CT,commercial,EMISS.CO2-TOTV-CC-TO-CT.A,"Commercial carbon dioxide emissions, all fuels, Connecticut",million metric tons CO2,A,mmt CO2,See http://www.eia.gov/environment/emissions/state/analysis/ for technical notes and documentation.,None,"EIA, U.S. Energy Information Administration",USA-CT,USA-CT,1980,2016,2018-12-12T09:19:26-0500,3.098075,3.086537,3.106067,3.50991,4.172949,4.059955,4.015067,3.91103,3.827848,4.301815,3.808098,3.628656,4.28556,3.811338,4.147688,3.810453,4.101884,4.268888,4.003698,4.25946,4.511323,4.281803,4.098679,4.926684,3.904201,3.721429,3.301986,3.335125,3.354778,3.270293,3.342877,3.575762,3.231212,3.554771,3.7989,4.33856,3.909278
