city,state_abbr,r_housing_units,r_total_pop,r_elec_1kdollars,r_elec_mwh,r_gas_1kdollars,r_gas_mcf,r_elec_lb_ghg,r_gas_lb_ghg,r_elec_class,r_gas_class,c_elec_score,c_gas_score,c_num_establishments,c_elec_1kdollars,c_elec_mwh,c_gas_1kdollars,c_gas_mcf,c_elec_lb_ghg,c_gas_lb_ghg,c_elec_class,c_gas_class,i_elec_score,i_gas_score,i_num_establishments,i_elec_1kdollars,i_elec_mwh,i_gas_1kdollars,i_gas_mcf,i_elec_lb_ghg,i_gas_lb_ghg,i_elec_class,i_gas_class
Pike,PA,1880.0,4948.0,2727.0,18969.0,373.0,37307.0,36555388.0,4478424.0,1,1,13755.99637,23883.79493,44.0,257.0,2740.0,28.0,3760.0,5281528.0,451273.0,1.0,1.0,6888.7877896040645,49439.12428541571,50.0,3721.75,53753.0,1791.0,242090.5,103589193.5,29061131.5,3.0,2.0
Pillow,PA,120.0,270.0,181.0,1325.0,11.0,925.0,2553553.0,111019.0,1,1,218.5574923,479.5530124,6.0,24.0,285.0,0.0,1.0,548623.0,173.0,1.0,1.0,,,,,,,,,,,
Pine,PA,8196.0,21046.0,13106.0,91827.0,4603.0,527429.0,160078919.0,63313921.0,2,1,6221.92,10168.81,42.0,417.0,4199.0,47.0,7021.0,6139039.0,842786.0,1.0,1.0,42341.34344357975,165114.9846197296,50.0,2326.0,33617.0,1120.0,151406.0,58933212.0,18175099.0,2.0,2.0
Pine Creek,PA,1823.0,4817.0,2723.0,19546.0,438.0,49191.0,37666989.0,5905031.0,1,1,,,,,,,,,,,,854.9126801050267,2766.6247796030407,178.0,822.0,11888.0,396.0,53542.0,22910353.0,6427319.0,1.0,1.0
Pine Grove,PA,3560.0,8913.0,5023.0,35848.0,890.0,83240.0,69083332.0,9992353.0,1,1,11420.29142,21270.82362,177.0,1286.0,14796.0,83.0,11779.0,28515261.0,1413928.0,2.0,1.0,,,,,,,,,,,
Pinegrove,PA,411.0,1023.0,518.0,3449.0,234.0,27551.0,6647381.0,3307277.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Piney,PA,139.0,381.0,182.0,1403.0,82.0,9368.0,2704326.0,1124577.0,1,1,,,,,,,,,,,,,,,,,,,,,,
Pitcairn,PA,1500.0,3259.0,1790.0,11526.0,1223.0,137657.0,19650333.0,16524720.0,1,1,8827.60812,11564.91577,60.0,349.0,3714.0,129.0,17489.0,6332153.0,2099395.0,1.0,1.0,,,,,,,,,,,
Pittsburgh,PA,31282.47,84618.63,37072.95,148728.62,20893.07,1794249.7,222856152.36,215386679.56,3,3,6221.92,10168.81,42.0,417.0,4199.0,47.0,7021.0,6139039.0,842786.0,1.0,1.0,7649.32,39969.32,50.0,678.0,9253.0,327.5,57984.5,13496294.5,6960624.5,1.0,1.0
Pittsfield,PA,462.0,1237.0,602.0,4013.0,167.0,15539.0,7734161.0,1865348.0,1,1,,,,,,,,,,,,76205.38006113237,360737.17409748357,106.0,236.0,3404.0,113.0,15330.0,6559504.0,1840217.0,1.0,1.0
