city,state_abbr,i_elec_score,i_gas_score,i_num_establishments,i_elec_1kdollars,i_elec_mwh,i_gas_1kdollars,i_gas_mcf,i_elec_lb_ghg,i_gas_lb_ghg,i_elec_class,i_gas_class
Scarsdale,NY,18149.37379461533,100398.32257475707,35.0,111.0,1840.0,47.0,8017.0,2757150.0,962338.0,1,1
Schaghticoke,NY,28858.373921612503,71326.72576502105,62.0,617.0,10230.0,264.0,44570.0,18420176.0,5350351.0,2,2
Schaumburg,IL,604698.9642359549,3158443.9830858014,900.0,12500.0,192044.0,5638.0,1120970.0,327414529.0,134564197.0,3,3
Schell City,MO,494.32364045078026,1479.5716638408364,2.0,3.0,44.0,1.0,206.0,44651.0,24706.0,1,1
Schenectady,NY,30208.894274962513,222451.15319727774,141.0,2291.0,37996.0,980.0,165539.0,68414420.0,19871753.0,3,3
Schererville,IN,96631.18715351413,823544.0305174566,66.0,4110.0,58929.0,2349.0,470811.0,100467266.0,56517384.0,3,3
Schertz,TX,170228.73576078092,1035572.4447707318,123.0,3547.0,66571.0,2566.0,968461.0,89138867.0,116256657.0,3,3
Schiller Park,IL,321315.1708491559,1533270.0357033552,166.0,4763.0,73177.0,2148.0,427137.0,124758852.0,51274679.0,3,3
Schodack,NY,130529.48025370053,806036.6796061861,56.0,132.0,2194.0,57.0,9560.0,3951116.0,1147647.0,1,1
Schofield,WI,5330.579821474425,26367.083821530952,28.0,92157.0,1229334.0,36987.0,7324146.0,1604607467.0,879210148.0,3,3
Schoolcraft,MI,542.3302365782637,1978.9355519533522,17.0,447.0,6474.0,207.0,35997.0,8449775.0,4321233.0,2,2
Schroeppel,NY,6126.555981445185,29066.3118666936,41.0,309.0,5120.0,132.0,22306.0,9218874.0,2677728.0,2,1
Schroon,NY,1209.427154843631,3262.987795575896,12.0,7.0,120.0,3.0,524.0,216559.0,62902.0,1,1
Schulenburg,TX,2198.710122181971,9942.234940683527,26.0,1755.0,32943.0,1270.0,479239.0,44110055.0,57529198.0,3,3
Schuyler,NY,3964.0476159061277,25454.75867088243,29.0,102.0,1688.0,44.0,7355.0,3039806.0,882946.0,1,1
Schuyler Falls,NY,1084.6604731565274,3957.8711039067043,19.0,286.0,4747.0,122.0,20680.0,8546562.0,2482447.0,2,1
Schuylkill,PA,2049.5407376264875,7562.913382052063,43.0,2128.0,30748.0,1025.0,138482.0,59255861.0,16623765.0,3,2
Scio,NY,844.7465580592324,4128.313338350525,1110.0,219.0,3630.0,94.0,15817.0,6536844.0,1898701.0,1,1
Scituate,MA,35795.58476789551,284834.0815914319,59.0,427.0,3190.0,144.0,19429.0,3462005.0,2332256.0,1,1
Scituate,RI,12709.709920269761,69751.43854561153,62.0,169.0,1251.0,121.0,13874.0,1357492.0,1665450.0,1,1
Scobey,MT,373.3809249664172,1153.2728842832469,14.0,52.0,1028.0,28.0,4935.0,1267419.0,592400.0,1,1
Scotch Plains,NJ,106756.57197094787,703013.8056690817,73.0,160.0,1576.0,87.0,13166.0,3038087.0,1580541.0,1,1
Scotland,CT,2068.056227525335,4461.197777051324,13.0,61.0,479.0,21.0,3448.0,519611.0,413938.0,1,1
Scott,LA,12222.845790127487,63088.726223998485,142.0,1523.0,30012.0,2727.0,876874.0,47888932.0,105262368.0,3,3
Scott,NY,506.8479348355394,2476.988003010315,14.0,55.0,841.0,24.0,3725.0,1565863.0,447149.0,1,1
Scott,PA,20993.082492411253,153631.1732486625,125.0,1522.0,21997.0,733.0,99071.0,38656409.0,11892843.0,2,2
Scott City,KS,863.4344616492618,6472.972992437884,115.0,307.0,4096.0,164.0,44472.0,7376883.0,5338563.0,2,2
Scott City,MO,5529.6493002584375,29364.189861397328,31.0,760.0,10678.0,316.0,50281.0,10908899.0,6035894.0,2,2
Scottdale,PA,37565.34372959326,181976.66472197394,17.0,3862.0,55799.0,1860.0,251304.0,95130940.0,30167204.0,3,3
Scotts Valley,CA,47563.73647643801,190648.8292241768,102.0,474.0,3979.0,411.0,60458.0,5328533.0,7257583.0,2,2
Scottsbluff,NE,1018.5582514457956,3301.142063481153,99.0,2625.0,34125.0,1125.0,278475.0,36935920.0,33428919.0,3,3
Scottsburg,IN,4717.481846995478,36932.51965960197,32.0,1585.0,22727.0,906.0,181580.0,38747762.0,21797370.0,3,3
Scottsdale,AZ,1057483.0993649391,7161467.572789446,1482.0,19553.0,322133.0,2462.0,425144.0,413721771.0,51035444.0,3,3
Scriba,NY,2026.70760236476,13656.759042381931,13.0,129.0,2142.0,55.0,9332.0,3856570.0,1120185.0,1,1
Sea Isle City,NJ,3271.5961407030572,19659.307311515047,10.0,29.0,282.0,16.0,2358.0,544173.0,283102.0,1,1
SeaTac,WA,36702.35349091933,251210.75915875376,85.0,947.0,21354.0,492.0,65926.0,26338737.0,7913970.0,2,2
Seabrook,MA,20674.079325423143,167892.52365509945,58.0,822.0,6658.0,242.0,28145.0,7226204.0,3378638.0,2,2
Seabrook,NH,62022.23797626943,503677.5709652983,58.0,822.0,6658.0,242.0,28145.0,7226204.0,3378638.0,2,2
Seabrook,TX,43376.454332304056,532918.7129355271,98.0,3883.0,72876.0,2809.0,1060188.0,97581576.0,127267803.0,3,3
Seadrift,TX,1333.5024174467646,5135.180125501492,5.0,2234.0,41922.0,1616.0,609869.0,56133451.0,73210347.0,3,3
Seaford,DE,7342.343237007405,69299.08321641831,51.0,4849.0,59880.0,7518.0,833477.0,115397774.0,100052865.0,3,3
Seagoville,TX,19213.6334455631,78558.27578519142,49.0,265.0,4969.0,192.0,72284.0,6653103.0,8677107.0,2,2
Seagraves,TX,3755.587111429186,34616.53059563957,71.0,752.0,14118.0,544.0,205381.0,29955855.0,24654521.0,2,3
Seal Beach,CA,38580.41306277109,245390.04449343288,207.0,3918.0,32864.0,3390.0,499293.0,44005482.0,59936468.0,3,3
Sealy,TX,1241.911774394633,8042.510660695557,65.0,890.0,16704.0,644.0,243011.0,22367199.0,29171739.0,2,3
Searcy,AR,99350.99515114313,464500.89805885573,131.0,5800.0,95444.0,2988.0,516901.0,152294616.0,62050161.0,3,3
Searsmont,ME,3791.3277204425044,10265.535638487974,12.0,233.0,2596.0,132.0,17132.0,2817834.0,2056552.0,1,1
Searsport,ME,18340.050042404568,152042.73067343514,16.0,207.0,2304.0,117.0,15201.0,2500286.0,1824794.0,1,1
Seaside,CA,19533.4685498452,106987.41832079648,58.0,750.0,6291.0,649.0,95582.0,8424156.0,11473893.0,2,2
Seaside,OR,12107.370767608316,196566.9689398713,29.0,38.0,626.0,16.0,2847.0,771529.0,341723.0,1,1
Seaside Heights,NJ,1726.8689232985237,12945.945984875763,9.0,30.0,297.0,16.0,2481.0,572403.0,297788.0,1,1
Seattle,WA,628845.4195969604,3625152.3428927213,3462.0,52407.0,1181476.0,27247.0,3647540.0,1457257660.0,437860549.0,3,3
Sebago,ME,1689.4931161184647,8256.62667670105,11.0,52.0,583.0,30.0,3849.0,633073.0,462039.0,1,1
Sebastopol,CA,5790.367865516564,46649.59203043349,74.0,1303.0,10934.0,1128.0,166119.0,14641033.0,19941420.0,2,3
Sebewaing,MI,168.94931161184647,825.662667670105,13.0,1203.0,17404.0,556.0,96776.0,22716580.0,11617308.0,2,2
Sebring,OH,60436.78416986046,304982.0160093153,44.0,614.0,8798.0,232.0,48171.0,14999479.0,5782585.0,2,2
Secaucus,NJ,93329.9214200775,605650.5341267161,128.0,3336.0,32832.0,1807.0,274207.0,63271626.0,32916573.0,3,3
Secretary,MD,3271.5961407030572,19659.307311515047,3.0,13.0,164.0,6.0,662.0,316471.0,79451.0,1,1
Sedalia,MO,5469.717398847412,21648.46181289834,120.0,6689.0,93964.0,2783.0,442457.0,95994366.0,53113682.0,3,3
Sedgewickville,MO,299.61431293242225,755.2873760658762,95.25,6516.25,91530.25,2711.0,430998.25,93508419.75,51738208.0,3,3
Sedgwick,KS,168.94931161184647,825.662667670105,14.0,126.0,1687.0,68.0,18319.0,3038622.0,2199015.0,1,1
Sedgwick,ME,6954.996075998324,42862.206658716605,10.0,49.0,548.0,28.0,3615.0,594668.0,434009.0,1,1
Sedona,AZ,37930.95727921417,222932.6896682069,108.0,989.0,16289.0,124.0,21498.0,20920785.0,2580724.0,2,1
Sedro-Woolley,WA,2254.355802894783,8032.386628768977,56.0,1482.0,33417.0,771.0,103167.0,41217069.0,12384446.0,3,2
Seekonk,MA,25256.152223718575,120982.91040080744,94.0,867.0,6480.0,292.0,39469.0,7033054.0,4737972.0,2,2
Seekonk,RI,31570.190279648217,151228.63800100933,94.0,867.0,6480.0,292.0,39469.0,7033054.0,4737972.0,2,2
Seguin,TX,33401.01079614962,263057.4998458112,170.0,11971.0,224684.0,8662.0,3268652.0,300852539.0,392377777.0,3,3
Seiling,OK,2712.039453512821,19173.55597606604,28.0,143.0,2859.0,245.0,30480.0,6065609.0,3658943.0,1,2
Selah,WA,1726.8689232985237,12945.945984875763,23.0,5206.0,117358.0,2706.0,362315.0,144751256.0,43493245.0,3,3
Selbyville,DE,9091.132681622232,43811.58917475197,14.0,5806.0,71707.0,9003.0,998098.0,138190024.0,119814336.0,3,3
Selbyville,MD,4545.566340811116,21905.794587375985,14.0,5806.0,71707.0,9003.0,998098.0,138190024.0,119814336.0,3,3
Sellersburg,IN,4105.248055362865,12009.071570549719,31.0,1272.0,18238.0,727.0,145709.0,31093123.0,17491289.0,2,3
Sellersville,PA,9918.768992598803,75329.0549135672,16.0,271.0,3909.0,130.0,17607.0,7533783.0,2113543.0,2,1
Selma,CA,373.3809249664172,1153.2728842832469,80.0,1080.0,9063.0,935.0,137685.0,12134967.0,16528101.0,2,2
Selma,TX,1463.4538882704333,6020.195592279882,30.0,524.0,9838.0,379.0,143118.0,13172862.0,17180304.0,2,2
Selmer,TN,97620.42304342364,1007843.4928894757,39.0,1379.0,24284.0,563.0,126806.0,40707745.0,15222191.0,3,2
Seminole,OK,20542.395721786124,124512.72281860506,496.0,896.0,17858.0,1531.0,190413.0,37892330.0,22857702.0,2,3
Seminole,TX,3341.0630189984777,19452.21689244627,262.0,1882.0,35330.0,1362.0,513973.0,74965501.0,61698742.0,3,3
Senatobia,MS,15895.886361673283,71650.39095069522,39.0,975.0,16837.0,529.0,121667.0,28224057.0,14605219.0,2,2
Seneca,KS,1013.35380118238,6828.3795211909655,74.0,1081.0,14432.0,578.0,156678.0,25989232.0,18808102.0,2,3
Seneca,NY,8473.23278468826,35343.83927696183,74.0,289.0,4789.0,124.0,20862.0,8622091.0,2504385.0,2,1
Seneca Falls,NY,28763.850182082784,133867.44444235048,76.0,3312.0,54925.0,1417.0,239294.0,98895936.0,28725458.0,3,3
Sennett,NY,2910.583561923595,7659.766354856725,39.0,1459.0,24185.0,624.0,105367.0,43546328.0,12648530.0,3,2
Sequim,WA,5270.596514767334,46653.714808707155,41.0,360.0,8116.0,187.0,25055.0,10010025.0,3007701.0,2,2
Sergeant Bluff,IA,8234.540052043723,78057.56073808315,28.0,1090.0,18027.0,729.0,155049.0,19511521.0,18612441.0,2,3
Seven Hills,OH,4061.1501732100055,10210.210169691332,60.0,512.0,7342.0,193.0,40201.0,12517737.0,4825826.0,2,2
Seven Points,TX,1769.9663581844238,11841.858372876653,23.0,63.0,1183.0,46.0,17206.0,1583646.0,2065422.0,1,1
Sevierville,TN,61631.080053686535,369134.3439053928,110.0,1083.0,19074.0,442.0,99598.0,31973232.0,11956021.0,2,2
Seward,AK,863.4344616492618,6472.972992437884,12.0,40.0,264.0,4.0,814.0,364615.0,97774.0,1,1
