,city,num_establishments,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg,state_id
43541,Reinbeck,50.0,289.0,3161.0,120.0,19855.0,3421460.0,2383417.0,IA
43542,Morrison,4.0,20.0,224.0,8.0,1405.0,242121.0,168664.0,IA
43543,Shell Rock,33.0,153.0,1678.0,56.0,9201.0,1816361.0,1104570.0,IA
43544,Stanley,4.0,17.0,181.0,6.0,936.0,196150.0,112377.0,IA
43547,Sumner,68.0,452.0,4952.0,155.0,24326.0,5359870.0,2920136.0,IA
43548,Frederika,5.0,21.0,230.0,6.0,1048.0,248984.0,125843.0,IA
43549,Traer,62.0,362.0,3965.0,108.0,17835.0,4291056.0,2140920.0,IA
43550,Tripoli,29.0,116.0,1267.0,34.0,5783.0,1371122.0,694177.0,IA
43553,Waverly,242.0,3252.0,35613.0,694.0,118168.0,38546125.0,14185148.0,IA
43556,Wellsburg,20.0,116.0,1273.0,36.0,6036.0,1378204.0,724550.0,IA
43557,Westgate,6.0,27.0,301.0,10.0,1509.0,325278.0,181158.0,IA
43565,Evansdale,88.0,456.0,4988.0,160.0,27204.0,5398392.0,3265673.0,IA
43574,Cromwell,413.75,5483.75,60042.25,1456.0,245512.25,64987519.0,29471935.75,IA
43575,Creston,203.0,1505.0,16475.0,491.0,76942.0,17831787.0,9236323.0,IA
43576,Afton,20.0,70.0,763.0,30.0,4726.0,826308.0,567286.0,IA
43577,Arispe,4.0,15.0,161.0,6.0,911.0,174078.0,109344.0,IA
43578,Bedford,56.0,235.0,2571.0,90.0,14823.0,2626212.0,1779425.0,IA
43579,Conway,16.0,68.0,742.0,26.0,4245.25,761754.75,509611.75,IA
43580,Benton,2.0,9.0,98.0,3.0,519.0,106101.0,62256.0,IA
43581,Maloy,2.0,13.0,138.0,5.0,728.0,140628.0,87422.0,IA
43582,Blockton,3.0,14.0,151.0,5.0,870.0,154070.0,104392.0,IA
43583,Bridgewater,7.0,33.0,365.0,12.0,1939.0,395439.0,232779.0,IA
43584,Carbon,25.75,107.5,1177.75,42.25,6982.0,1272308.25,838124.5,IA
43585,Clearfield,14.0,61.0,672.0,23.0,3846.0,726852.0,461657.0,IA
43586,Corning,79.0,322.0,3523.0,129.0,21273.0,3812872.0,2553670.0,IA
43587,Carbon,29.0,122.0,1335.25,47.25,7775.5,1445194.25,933370.25,IA
