city,state_abbr,elec_score,gas_score,num_establishments,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg
Morton,PA,12554.943561900414,26780.874741140626,72.0,376.0,3707.0,173.0,20926.0,7143758.0,2512051.0
Morton,TX,11702.938688528422,33914.13779710221,24.0,255.0,3040.0,17.0,2492.0,6450215.0,299105.0
Morton,WA,15272.773345228059,42521.638085376064,27.0,490.0,9485.0,0.0,0.0,11698808.0,0.0
Morton Grove,IL,231350.39819472327,385121.1346922231,420.0,3965.0,45417.0,1395.0,231297.0,77431976.0,27765470.0
Mortons Gap,KY,3986.8481909423613,3954.601617190737,2.0,17.0,177.0,2.0,292.0,297480.0,35101.0
Moscow,ID,60170.34330745975,120974.26003903404,357.0,4333.0,48691.0,739.0,100539.0,60055997.0,12069018.0
Moscow,KY,130.64060015456207,246.36611834098906,10.0,74.0,842.0,0.0,0.0,1435769.0,10.0
Moscow,OH,130.64060015456207,246.36611834098906,10.0,74.0,842.0,0.0,0.0,1435769.0,10.0
Moscow,TN,26.37442590622486,57.361970990425284,29.0,357.0,3133.0,0.0,1.0,5251713.0,83.0
Moscow,WA,60170.34330745975,120974.26003903404,357.0,4333.0,48691.0,739.0,100539.0,60055997.0,12069018.0
Moses Lake,WA,64534.816147328806,125879.55245770224,327.0,6211.0,150334.0,0.0,0.0,185425433.0,0.0
Mosheim,TN,13880.180992986308,17597.898207136575,54.0,702.0,6644.0,92.0,11828.0,11138022.0,1419815.0
Mosier,OR,72.8524974253347,159.85100411946448,7.0,39.0,453.0,7.0,730.0,558943.0,87663.0
Mosinee,WI,10385.621587338073,18820.664002136542,96.0,1181.0,12651.0,598.0,98658.0,16513434.0,11843116.0
Mosquero,NM,124.20375491194876,134.72018629020522,0.0,3.0,28.0,0.0,0.0,35701.0,0.0
Moss Point,MS,57150.589167731385,91715.53041528932,295.0,6501.0,65218.0,264.0,34705.0,103490820.0,4166138.0
Mossyrock,WA,1843.2197683300785,2871.357765863237,13.0,110.0,1413.0,0.0,3.0,1742836.0,331.0
Motley,MN,2321.535104319233,3765.9448654053576,31.0,162.0,1754.0,82.0,14050.0,1897968.0,1686646.0
Mott,ND,4913.935162804907,8503.30272061124,25.0,316.0,3263.0,32.0,5874.0,3532178.0,705123.0
Moulton,IA,412.6072903773258,647.2123795757268,21.0,99.0,1086.0,35.0,5283.0,1109227.0,634216.0
Moulton,TX,8957.334108734516,15481.515252034282,23.0,216.0,2580.0,32.0,4889.0,3454084.0,586854.0
Moultonborough,NH,95593.08462597986,160923.92301508144,114.0,951.0,6519.0,0.0,0.0,7074779.0,0.0
Mound,MN,27091.211339417066,40661.19813856045,196.0,1338.0,13489.0,486.0,80838.0,14600399.0,9704000.0
Mound Bayou,MS,893.3537148243303,1561.6272353749164,22.0,147.0,1881.0,4.0,505.0,2984554.0,60654.0
Mound City,KS,2148.5740502556773,3047.620665819059,49.0,536.0,5265.0,71.0,9859.0,9481844.0,1183443.0
Mound City,KY,740.3214106476307,814.5828416266041,6.0,101.0,1138.0,2.0,199.0,1162321.0,23900.0
Mound City,SD,171.77777352075142,336.2205037491043,3.0,33.0,335.0,6.0,1066.0,362290.0,128017.0
Mound Station,IL,477.8904880082497,384.3309199780477,2.0,44.0,494.0,0.0,0.0,504557.0,0.0
Mound Valley,KS,125.53285167345314,245.7425291510177,9.0,111.0,1110.0,12.0,1665.0,1998093.0,199841.0
Moundridge,KS,13474.049482710045,39084.653787070514,28.0,286.0,2871.0,46.0,6436.0,5170146.0,772551.0
Mounds,OK,8191.86435188325,11672.305910020405,37.0,330.0,4343.0,56.0,8118.0,9214726.0,974497.0
Mounds View,MN,40314.29357881771,72454.14922338376,125.0,1140.0,11486.0,417.0,69341.0,12432433.0,8323822.0
Moundsville,OH,23018.793846989844,39127.8699785998,197.0,2117.0,23450.0,1076.0,135947.0,39980590.0,16319454.0
Mount Airy,MD,15178.91048180469,26882.327805453868,210.0,2650.0,25660.0,0.0,19.0,43747276.0,2337.0
Mount Angel,OR,6867.836514357853,13423.977144661136,52.0,506.0,5615.0,96.0,10188.0,6925381.0,1222975.0
Mount Arlington,NJ,49488.175740496416,87245.51955462665,66.0,1123.0,9597.0,735.0,70311.0,18495098.0,8440354.0
Mount Auburn,IA,56.43591072389158,119.84068666672924,4.0,17.0,187.0,6.0,986.0,202566.0,118365.0
Mount Auburn,IL,1279.5056044221685,1867.7454444624905,11.0,108.0,1216.0,12.0,1983.0,1241955.0,238008.0
Mount Auburn,IN,72.8524974253347,159.85100411946448,3.0,19.0,206.0,4.0,609.0,351723.0,73160.0
Mount Ayr,IA,17539.026212950856,44633.09207847711,93.0,508.0,5564.0,269.0,40499.0,6021934.0,4861638.0
Mount Blanchard,OH,346.08052741937354,361.3568240924824,13.0,80.0,793.0,8.0,1410.0,1352090.0,169311.0
Mount Calvary,WI,660.8991359553397,1406.0091925507504,23.0,150.0,1303.0,53.0,8803.0,2222259.0,1056735.0
Mount Carmel,IL,24791.00296400128,54970.65666948379,208.0,2809.0,31575.0,522.0,56966.0,32257621.0,6838306.0
Mount Carmel,IN,24791.00296400128,54970.65666948379,210.0,2832.0,31834.0,522.0,56966.0,32699536.0,6838306.0
Mount Carmel,TN,6683.819583399685,10661.35974507664,47.0,3099.0,35525.0,91.0,11624.0,59550206.0,1395382.0
Mount Carroll,IL,5597.827902634033,10861.029231090368,63.0,276.0,3164.0,142.0,23549.0,3424934.0,2826839.0
Mount Chase,ME,4653.593047676374,10534.846321680623,3.0,111.0,876.0,0.0,0.0,951100.0,0.0
Mount Clemens,MI,220703.65660778972,531016.9202623585,379.0,11212.0,116534.0,2254.0,345521.0,152104522.0,41477290.0
Mount Crawford,VA,1274.5409331890319,1592.2109514939434,5.0,87.0,1094.0,18.0,2298.0,1865101.0,275853.0
Mount Crested Butte,CO,3977.0592371229163,6710.875385098845,57.0,624.0,6779.0,65.0,12176.0,11879018.0,1461683.0
Mount Desert,ME,100157.33906372386,161677.8289110396,100.0,1201.0,9543.0,0.0,0.0,10357161.0,0.0
Mount Eaton,OH,8760.48765341044,12937.489038998932,16.0,84.0,830.0,47.0,8627.0,1415588.0,1035663.0
Mount Enterprise,TX,1732.4994930515918,2220.2598924539275,9.0,130.0,1553.0,9.0,1296.0,3295290.0,155623.0
Mount Ephraim,NJ,34099.365695070075,63013.69653931624,104.0,1158.0,9598.0,340.0,46976.0,18497197.0,5639142.0
Mount Gilead,OH,37485.238986019656,96502.00355902936,111.0,808.0,7988.0,93.0,16956.0,13618684.0,2035386.0
Mount Gretna,PA,731.820763308087,1260.3776558050101,4.0,21.0,219.0,6.0,701.0,422592.0,84151.0
Mount Healthy,OH,8564.593413436914,16006.658171424288,93.0,1050.0,12030.0,271.0,36767.0,20509550.0,4413664.0
Mount Holly,NJ,61014.71230219612,111950.16044354727,215.0,4728.0,39198.0,1021.0,141023.0,75540752.0,16928725.0
Mount Holly,VT,9612.716292916892,18183.008671019023,24.0,181.0,1258.0,0.0,0.0,1364869.0,0.0
Mount Holly Springs,PA,3807.363729819831,6364.916935575383,29.0,80.0,824.0,59.0,7309.0,1588394.0,877440.0
Mount Hope,KS,2209.3365698775897,4243.25711815302,11.0,122.0,1228.0,38.0,5745.0,2212244.0,689623.0
Mount Hope,NY,36820.26108924487,57243.049235362385,88.0,527.0,4003.0,0.0,0.0,7208390.0,0.0
Mount Hope,WI,672.3416373430366,795.9139700642207,4.0,27.0,239.0,5.0,814.0,311912.0,97772.0
Mount Horeb,WI,13361.997124801464,21718.484823438168,155.0,1228.0,11034.0,670.0,111383.0,14402942.0,13370768.0
Mount Ida,AR,3019.0054555350316,4916.393252970136,35.0,322.0,3937.0,79.0,12412.0,6282374.0,1490008.0
Mount Jackson,VA,3729.8466235366704,5733.1122560976755,71.0,1149.0,14487.0,196.0,27529.0,24698937.0,3304634.0
Mount Jewett,PA,1930.0107817421253,3675.150970062876,16.0,129.0,1395.0,95.0,12501.0,2378146.0,1500704.0
Mount Joy,MD,4946.3351094259115,8488.737233022406,70.0,316.0,3273.0,193.0,24755.0,6307707.0,2971606.0
Mount Joy,PA,49817.05172059486,79769.68374533801,436.0,3690.0,43094.0,1292.0,159707.0,83047302.0,19171563.0
Mount Kisco,NY,203756.3951448722,426191.1962755382,279.0,10290.0,62403.0,1179.0,220871.0,93504388.0,26513912.0
