zip,city,city_vmt_estimate,natl_avg_vmt_estimate,natl_per_capita_vmt_estimate
01073,Westfield,244329883,75422411,7555
01073,Holyoke,369352827,75422411,7555
01073,Huntington,11280576,75422411,7555
01073,Easthampton Town,77342110,75422411,7555
01073,Montgomery,2726129,75422411,7555
01073,Westhampton,3998516,75422411,7555
01075,Hadley,70351957,75422411,7555
01075,Holyoke,369352827,75422411,7555
01075,Granby,43828182,75422411,7555
01075,Chicopee,832737316,75422411,7555
01075,South Hadley,74743061,75422411,7555
01077,Suffield,97856407,75422411,7555
01077,Agawam Town,173181550,75422411,7555
01077,Westfield,244329883,75422411,7555
01077,Granby,63621607,75422411,7555
01077,Southwick,60359716,75422411,7555
01077,Granville,8597888,75422411,7555
01079,Palmer Town,201477532,75422411,7555
01080,Palmer Town,201477532,75422411,7555
01080,Belchertown,83023322,75422411,7555
01081,Monson,23392629,75422411,7555
01081,Brimfield,80445383,75422411,7555
01081,Union,117686132,75422411,7555
01081,Holland,4046494,75422411,7555
01081,Stafford,64054973,75422411,7555
01081,Wales,4201400,75422411,7555
01082,Hardwick,11037130,75422411,7555
01082,Ware,47543692,75422411,7555
01082,Palmer Town,201477532,75422411,7555
01082,New Salem,16397328,75422411,7555
01082,West Brookfield,59826054,75422411,7555
01082,Belchertown,83023322,75422411,7555
01082,Petersham,10694082,75422411,7555
01082,New Braintree,6857832,75422411,7555
01082,Warren,90853533,75422411,7555
01083,Brimfield,80445383,75422411,7555
01083,Warren,90853533,75422411,7555
01084,Chesterfield,4660017,75422411,7555
01084,Huntington,11280576,75422411,7555
01084,Worthington,5096694,75422411,7555
01085,West Springfield Town,287461413,75422411,7555
01085,Agawam Town,173181550,75422411,7555
01085,Southampton,34997489,75422411,7555
01085,Westfield,244329883,75422411,7555
01085,Holyoke,369352827,75422411,7555
01085,Huntington,11280576,75422411,7555
01085,Russell,53314572,75422411,7555
01085,Southwick,60359716,75422411,7555
01085,Montgomery,2726129,75422411,7555
01085,Granville,8597888,75422411,7555
01088,Whately,57064812,75422411,7555
01088,Hatfield,59057585,75422411,7555
01088,Northampton,244998726,75422411,7555
01088,Williamsburg,22810955,75422411,7555
01089,West Springfield Town,287461413,75422411,7555
