city,state_abbr,i_elec_score,i_gas_score,i_num_establishments,i_elec_1kdollars,i_elec_mwh,i_gas_1kdollars,i_gas_mcf,i_elec_lb_ghg,i_gas_lb_ghg,i_elec_class,i_gas_class
Newstead,NY,7649.32,39969.32,180.0,3491.0,57887.0,1493.0,252195.0,104227986.0,30274213.0,Very High,High
Newton,IA,6403.657800850478,52861.370849394814,81.0,5396.0,9253.0,327.5,57984.5,96588742.0,6960624.5,Normal,Normal
Newton,KS,38273.010014989915,248105.4134283007,116.0,3201.0,42729.0,1712.0,463882.0,76947059.0,55685683.0,High,Very High
Newton,MA,7649.32,39969.32,50.0,3116.0,23350.0,1047.0,141116.0,25340307.0,16940056.0,High,High
Newton,MS,863.4344616492618,6472.972992437884,27.0,1632.0,28170.0,885.0,203559.0,47221145.0,24435720.0,High,High
Newton,NH,3325.182674476792,12660.877795224695,24.0,72.0,586.0,21.0,2475.0,635561.0,297159.0,Normal,Normal
Newton,NJ,2970.390000131656,7649.336953997457,49.0,222.0,2183.0,120.0,18236.0,4207845.0,2189099.0,Normal,Normal
Newton,PA,13731.212156073623,67268.04887289218,42.0,1925.0,27808.0,927.0,125242.0,53590514.0,15034396.0,High,High
Newton,TX,727.0706529849358,2138.5997658673964,29.0,178.0,3349.0,129.0,48723.0,5344107.0,5848852.0,Normal,Normal
Newton,UT,3659.327811317131,7446.851857164815,12.0,44.0,693.0,16.0,2911.0,855242.0,349435.0,Normal,Normal
Newtown,CT,7649.32,39969.32,170.0,1185.0,9246.0,404.0,66591.0,10034399.0,7993710.0,Normal,Normal
Newtown,OH,10350.288179597428,183744.10245242045,29.0,803.0,11515.0,303.0,63047.0,19631672.0,7568384.0,Normal,Normal
Newtown,PA,88501.06222791117,39969.32,171.0,678.0,9253.0,327.5,437961.0,13496294.5,52573971.0,Normal,Very High
Niagara,MI,2402.511795056792,7609.755822254302,13.0,1657.0,22099.0,665.0,131663.0,28845397.0,15805215.0,High,High
Niagara,NY,32439.316159175738,260187.21950377122,58.0,4133.0,68525.0,1767.0,298543.0,123382777.0,35837942.0,Very High,High
Niagara,WI,800.8372650189308,2536.585274084768,13.0,1657.0,22099.0,665.0,131663.0,28845397.0,15805215.0,High,High
Niagara Falls,NY,48496.52640212245,505947.1750781112,127.0,678.0,9253.0,3022.0,510529.0,13496294.5,61285319.0,Normal,Very High
Nibley,UT,9274.904970444235,41211.42467946498,15.0,57.0,899.0,21.0,3776.0,1109441.0,453296.0,Normal,Normal
Nicholasville,KY,23345.015423653218,138643.09254192072,169.0,5824.0,9253.0,1581.0,419332.0,13496294.5,50337745.0,Normal,Very High
Nichols,NY,1159.5681083848378,4607.8457889107785,58.0,308.0,5106.0,132.0,22246.0,9193996.0,2670502.0,Normal,Normal
Nichols,PA,579.7840541924189,2303.9228944553893,58.0,308.0,5106.0,132.0,22246.0,9193996.0,2670502.0,Normal,Normal
Nichols Hills,OK,1133.369921611468,7189.000750373685,18.0,61.0,1215.0,104.0,12951.0,2577245.0,1554665.0,Normal,Normal
Niles,MI,1169.1942918428908,4816.544784146385,57.0,2395.0,34651.0,1108.0,192679.0,59076501.0,23129744.0,High,High
Niles,OH,7649.32,39969.32,159.0,1627.0,23314.0,614.0,127653.0,39748589.0,15323839.0,High,High
Niskayuna,NY,21031.064108469167,72212.82143492185,42.0,2162.0,35850.0,925.0,156189.0,64550381.0,18749398.0,High,High
Nisswa,MN,7470.088260151241,37356.09830773233,19.0,190.0,2575.0,83.0,19761.0,2787198.0,2372186.0,Normal,Normal
Nixa,MO,8209.528689514153,52575.153655285976,66.0,573.0,8052.0,238.0,37917.0,8226344.0,4551636.0,Normal,Normal
Noble,OK,1626.990709734791,5936.806655860056,133.0,613.0,12212.0,1047.0,130216.0,25913095.0,15631496.0,Normal,High
Nobleboro,ME,1200.1612042908787,3606.212291827179,17.0,87.0,970.0,49.0,6398.0,1052332.0,768028.0,Normal,Normal
Noblesville,IN,7649.32,39969.32,203.0,4486.0,64323.0,2564.0,513911.0,109664606.0,61691304.0,Very High,Very High
Nockamixon,NJ,5400.732921117831,46303.91419608592,51.0,805.0,11634.0,388.0,52398.0,22421012.0,6290038.0,Normal,Normal
Nockamixon,PA,27003.66460558916,231519.57098042962,51.0,805.0,11634.0,388.0,52398.0,22421012.0,6290038.0,Normal,Normal
Nocona,TX,149.91933953311826,355.4065287530841,65.0,216.0,4062.0,157.0,59086.0,5438376.0,7092836.0,Normal,Normal
Nogales,AZ,8199.019258324837,34723.88535036357,124.0,837.0,13788.0,105.0,18198.0,17708690.0,2184489.0,Normal,Normal
Nolanville,TX,2205.191518677281,16696.567973055724,5.0,62.0,1156.0,45.0,16823.0,1548440.0,2019506.0,Normal,Normal
Nome,AK,863.4344616492618,6472.972992437884,66.5,2949.0,19357.5,301.5,59653.25,27276593.25,7160907.5,High,Normal
Nome,TX,1726.8689232985237,12945.945984875769,22.0,84.0,1568.0,60.0,22805.0,2501329.0,2737577.0,Normal,Normal
Nooksack,WA,337.89862322369294,1651.32533534021,5.0,26.0,579.0,13.0,1789.0,714755.0,214762.0,Normal,Normal
Norco,CA,67844.55316209227,376476.7093370775,162.0,3620.0,30365.0,327.5,461321.0,40658783.0,55378188.0,High,Very High
Norfolk,CT,2992.194380367594,9683.186728610644,22.0,211.0,1646.0,72.0,11853.0,1786115.0,1422874.0,Normal,Normal
Norfolk,MA,42777.03054081633,330119.2320017381,58.0,472.0,3600.0,160.0,23755.0,3906937.0,2851612.0,Normal,Normal
Norfolk,NE,21213.841135401584,141336.81593369774,131.0,5379.0,69928.0,2305.0,570641.0,75687729.0,68501310.0,Very High,Very High
Norfolk,NY,38936.01861913402,340961.50348473154,11.0,1008.0,16719.0,431.0,72841.0,30103885.0,8744018.0,Normal,Normal
Norfork,AR,337.89862322369294,1651.32533534021,3.0,43.0,708.0,22.0,3832.0,1129162.0,460060.0,Normal,Normal
Normal,IL,59518.94971829001,216735.54073121733,50.0,3168.0,48677.0,1429.0,284128.0,49728590.0,34107493.0,High,High
Norman,OK,7649.32,39969.32,50.0,678.0,9253.0,327.5,57984.5,13496294.5,6960624.5,Normal,Normal
Normandy Park,WA,1675.7001581897314,9167.936302327038,25.0,59.0,1330.0,31.0,4106.0,1640331.0,492868.0,Normal,Normal
Norridge,IL,65876.60652774437,295105.79166048486,48.0,431.0,6626.0,195.0,38674.0,11296058.0,4642570.0,Normal,Normal
Norridgewock,ME,11101.695228718329,84766.64704238687,26.0,251.0,2804.0,142.0,18502.0,3043165.0,2221006.0,Normal,Normal
Norris,TN,20275.98679986404,158565.28382556755,10.0,322.0,5667.0,131.0,29592.0,9499557.0,3552250.0,Normal,Normal
Norristown,PA,29831.206551065923,149868.28429455293,95.0,861.0,12443.0,415.0,56039.0,23978810.0,6727066.0,Normal,Normal
North Adams,MA,51151.250239341345,221147.76695171322,43.0,397.0,2971.0,134.0,18096.0,3224468.0,2172234.0,Normal,Normal
North Andover,MA,7649.32,39969.32,146.0,6393.0,47799.0,2154.0,291118.0,51874862.0,34946646.0,High,High
North Annville,PA,6504.313567637956,35664.78271711596,43.0,375.0,5415.0,180.0,24388.0,10435320.0,2927547.0,Normal,Normal
North Arlington,NJ,26774.3329020577,207054.58077164204,44.0,186.0,1831.0,101.0,15295.0,3529259.0,1836070.0,Normal,Normal
North Attleborough,MA,7649.32,39969.32,131.0,678.0,65387.0,2947.0,398236.0,70962235.0,47805277.0,Very High,Very High
North Attleborough,RI,39779.89408413879,174574.52582072944,131.0,678.0,65387.0,2947.0,398236.0,70962235.0,47805277.0,Very High,Very High
North Aurora,IL,86040.36566514763,39969.32,131.0,2604.0,40007.0,1175.0,233521.0,68207063.0,28032441.0,High,High
North Baltimore,OH,337.89862322369294,1651.32533534021,32.0,1237.0,17724.0,467.0,97046.0,30218021.0,11649624.0,High,Normal
North Beaver,OH,15251.959287041887,72972.96814152194,51.0,755.0,10905.0,363.0,49114.0,18592185.0,5895813.0,Normal,Normal
North Beaver,PA,45755.877861125664,218918.90442456587,51.0,755.0,10905.0,363.0,49114.0,18592185.0,5895813.0,Normal,Normal
North Bend,OR,5491.468398593901,30261.329811368247,49.0,89.0,1469.0,38.0,6686.0,1812130.0,802622.0,Normal,Normal
North Bend,WA,240.03224085817573,721.2424583654359,47.0,218.0,4912.0,113.0,15163.0,6058020.0,1820246.0,Normal,Normal
North Bergen,NJ,7649.32,39969.32,219.0,2752.0,27082.0,1491.0,226187.0,52191227.0,27152081.0,High,High
North Berwick,ME,16183.976031032516,76910.40239511582,22.0,755.0,8421.0,427.0,55560.0,9138524.0,6669607.0,Normal,Normal
North Bethlehem,PA,5961.4252079985645,36739.03427889993,68.0,560.0,8090.0,270.0,36433.0,13791849.0,4373567.0,Normal,Normal
North Bonneville,WA,1968.7543542672493,13598.543543990947,9.0,18.0,405.0,9.0,1250.0,499290.0,150021.0,Normal,Normal
North Braddock,PA,844.7465580592324,4128.313338350525,7.0,299.0,4320.0,144.0,19454.0,7364415.0,2335348.0,Normal,Normal
North Branch,MN,6993.030455691784,37794.851180319136,72.0,1289.0,17491.0,562.0,134223.0,18931326.0,16112463.0,High,High
North Branford,CT,7649.32,39969.32,92.0,3241.0,25285.0,1105.0,182106.0,27441219.0,21860517.0,High,High
North Brookfield,MA,39350.46498716492,303265.93489470123,30.0,829.0,6200.0,279.0,37759.0,6728294.0,4532664.0,Normal,Normal
North Buffalo,PA,6328.092058196582,44738.29727748743,50.0,192.0,2771.0,92.0,12482.0,4724865.0,1498313.0,Normal,Normal
North Canaan,CT,81915.08789905577,357951.8438896821,52.0,1967.0,15348.0,671.0,110535.0,16656288.0,13268910.0,Normal,Normal
North Canaan,MA,32766.035159622315,143180.7375558728,52.0,1967.0,15348.0,671.0,110535.0,16656288.0,13268910.0,Normal,Normal
North Canton,OH,23414.944501018017,132632.83976606914,135.0,400.0,5731.0,151.0,31377.0,9770295.0,3766635.0,Normal,Normal
North Castle,CT,4217.2329350193295,27701.25441177083,75.0,450.0,7461.0,192.0,32505.0,11179463.0,3902009.0,Normal,Normal
North Castle,NY,21086.16467509665,138506.27205885414,75.0,450.0,7461.0,192.0,32505.0,11179463.0,3902009.0,Normal,Normal
North Chicago,IL,7649.32,39969.32,161.0,3514.0,53994.0,1585.0,315167.0,92054447.0,37833485.0,Very High,High
North Codorus,PA,4211.732052298063,16983.721577642267,44.0,322.0,4645.0,155.0,20922.0,8952220.0,2511475.0,Normal,Normal
North College Hill,OH,1013.35380118238,6828.3795211909655,21.0,345.0,4944.0,130.0,27068.0,8428408.0,3249312.0,Normal,Normal
North Collins,NY,25769.61951525453,212436.43792417878,50.0,501.0,8300.0,214.0,36160.0,14944353.0,4340759.0,Normal,Normal
North Cornwall,PA,10397.960919918856,53165.88544797875,33.0,746.0,10773.0,359.0,48520.0,20761693.0,5824529.0,Normal,Normal
North Coventry,PA,2332.6526978417264,5287.198561151079,37.0,161.0,2332.0,78.0,10501.0,4493413.0,1260591.0,Normal,Normal
North East,CT,8399.494158243931,60488.381933703655,40.0,340.0,5639.0,145.0,24569.0,10153966.0,2949336.0,Normal,Normal
