city,state_abbr,c_elec_score,c_gas_score,c_num_establishments,c_elec_1kdollars,c_elec_mwh,c_gas_1kdollars,c_gas_mcf,c_elec_lb_ghg,c_gas_lb_ghg,c_elec_class,c_gas_class
Addison,IL,6221.92,10168.81,42.0,417.0,4199.0,47.0,7021.0,6139039.0,842786.0,Normal,Normal
Addison,MD,4819.502812,7537.1847629999975,19.0,107.0,1069.0,55.0,7024.0,2060859.0,843141.0,Normal,Normal
Addison,ME,6510.850216,8870.881083,12.0,340.0,2702.0,0.0,0.0,2932405.0,0.0,Normal,Normal
Addison,MI,397.7291398,387.8963227,38.0,324.0,2741.0,66.0,10137.0,3577666.0,1216891.0,Normal,Normal
Addison,NY,10571.19801,13590.13741,60.0,460.0,4321.0,126.0,18018.0,7779760.0,2162948.0,Normal,Normal
Addison,PA,3410.7075619999996,5283.2075380000015,24.0,138.0,1375.0,71.0,9033.0,2650471.0,1084364.0,Normal,Normal
Addison,VT,13347.64581,23527.57316,32.0,251.0,1752.0,0.0,0.0,1901758.0,0.0,Normal,Normal
Addyston,KY,664.3068937,1434.577906,11.0,117.0,1343.0,42.0,5652.0,2289870.0,678431.0,Normal,Normal
Addyston,OH,1992.9206809999998,4303.733717,11.0,117.0,1343.0,42.0,5652.0,2289870.0,678431.0,Normal,Normal
Adel,IA,10816.26304,19005.30269,101.0,767.0,8401.0,293.0,49844.0,9092621.0,5983374.0,Normal,High
Adelanto,CA,42902.309310000004,69777.26397,109.0,1319.0,10249.0,355.0,32546.0,13723503.0,3906906.0,High,High
Adell,WI,1377.615661,2319.036548,11.0,77.0,668.0,21.0,3063.0,1138385.0,367649.0,Normal,Normal
Adena,OH,2548.954663,5531.250224,14.0,94.0,928.0,4.0,662.0,1581341.0,79463.0,Normal,Normal
Admire,KS,36.02480646,61.66843856,2.0,10.0,96.0,0.0,0.0,172429.0,30.0,Normal,Normal
Adrian,MI,51149.31963,105033.2038,42.0,417.0,4199.0,47.0,7021.0,6139039.0,842786.0,Normal,Normal
Adrian,TX,451.88129360000005,738.7193549,2.0,21.0,247.0,2.0,284.0,523972.0,34062.0,Normal,Normal
Advance,IN,311.633289,559.4023553999998,1.0,67.0,713.0,3.0,355.0,1215158.0,42638.0,Normal,Normal
Afton,IA,1899.7252079999998,3578.574113,20.0,70.0,763.0,30.0,4726.0,826308.0,567286.0,Normal,Normal
Afton,MN,41486.45497,78225.98646,47.0,373.0,3762.0,238.0,39562.0,4071524.0,4749128.0,Normal,High
Afton,NY,31458.521439999997,51309.89947,66.0,342.0,3211.0,0.0,0.0,5781582.0,0.0,Normal,Normal
Afton,OK,720.4520434,1275.707385,16.0,120.0,1574.0,7.0,1049.0,3340192.0,125864.0,Normal,Normal
Afton,WI,13828.818319999995,26075.32882,47.0,373.0,3762.0,238.0,39562.0,4071524.0,4749128.0,Normal,High
Afton,WY,19165.10341,48463.06116000001,74.0,670.0,10954.0,345.0,37188.0,13510895.0,4464163.0,High,High
Agar,SD,514.6285936,1029.1825310000004,2.0,17.0,210.0,2.0,421.0,227047.0,50592.0,Normal,Normal
Agawam Town,CT,6221.92,10168.81,42.0,417.0,46502.0,47.0,7021.0,50466800.0,842786.0,Very High,Normal
Agawam Town,MA,6221.92,10168.81,42.0,417.0,46502.0,47.0,7021.0,50466800.0,842786.0,Very High,Normal
Agency,IA,1060.60358,1848.080593,18.0,69.0,753.0,27.0,4430.0,815099.0,531762.0,Normal,Normal
Agoura Hills,CA,6221.92,10168.81,342.0,417.0,4199.0,609.0,71273.0,6139039.0,8555783.0,Normal,High
Agra,KS,871.1310399,878.9098597000003,13.0,151.0,1298.0,38.0,5213.0,2337944.0,625733.0,Normal,Normal
Agra,OK,668.4535661,1165.933395,11.0,95.0,1247.0,17.0,2411.0,2645116.0,289478.0,Normal,Normal
Agua Dulce,TX,320.5634986,440.3847892,14.0,191.0,2276.0,23.0,3561.0,3047355.0,427491.0,Normal,Normal
Aguilar,CO,1144.850809,1463.6385189999999,8.0,109.0,671.0,6.0,1179.0,1175563.0,141532.0,Normal,Normal
Ahmeek,MI,820.8398126000003,912.5338808,2.0,23.0,148.0,0.0,0.0,193658.0,0.0,Normal,Normal
Ainsworth,IA,72.85249743,159.85100409999995,10.0,53.0,581.0,20.0,3123.0,628550.0,374852.0,Normal,Normal
Ainsworth,NE,16691.75244,40388.94384,59.0,928.0,7805.0,0.0,0.0,8448108.0,0.0,Normal,Normal
Airway Heights,WA,28480.54555,44958.17132,152.0,1644.0,16450.0,418.0,51455.0,20289654.0,6176803.0,High,High
Aitkin,MN,8336.349503,14144.17933,72.0,987.0,9695.0,0.0,62.0,10493103.0,7412.0,Normal,Normal
Akeley,MN,570.8296905,1053.83349,13.0,80.0,871.0,0.0,0.0,943048.0,0.0,Normal,Normal
Akron,CO,1719.5123019999999,2597.004327,48.0,774.0,7157.0,42.0,7663.0,12541792.0,919902.0,Normal,Normal
Akron,IA,3188.486947,5095.759413000002,31.0,141.0,1543.0,40.0,6811.0,1670375.0,817654.0,Normal,Normal
Akron,IN,1018.587246,1844.420896,24.0,143.0,1608.0,45.0,7530.0,2742256.0,903910.0,Normal,Normal
Akron,MI,1579.595253,2730.0586719999997,9.0,66.0,685.0,15.0,2299.0,893631.0,276018.0,Normal,Normal
Akron,OH,6221.92,10168.81,42.0,417.0,4199.0,47.0,7021.0,6139039.0,842786.0,Normal,Normal
Alabama,NY,6251.272961,7700.4085840000025,21.0,130.0,1239.0,54.0,10137.0,2230632.0,1216842.0,Normal,Normal
Alameda,CA,6221.92,10168.81,42.0,417.0,4199.0,47.0,7021.0,6139039.0,842786.0,Normal,Normal
Alamo,TN,9731.66538,16427.55649,81.0,934.0,8498.0,0.0,11.0,14245210.0,1288.0,Normal,Normal
Alamo,TX,59412.97087000001,81363.34599999999,170.0,3096.0,36900.0,526.0,78643.0,49409351.0,9440468.0,Very High,Very High
Alamo Heights,TX,21850.43018,41001.99365,256.0,3019.0,35987.0,367.0,67373.0,48187242.0,8087638.0,Very High,High
Alamogordo,NM,62354.26194,122365.1411,42.0,417.0,4199.0,47.0,7021.0,6139039.0,842786.0,Normal,Normal
Alamosa,CO,42292.53708,89458.48495,251.0,4424.0,48013.0,626.0,114681.0,6139039.0,13766600.0,Very High,Very High
Alanson,MI,1187.5310980000004,1935.000873,25.0,180.0,1516.0,0.0,0.0,1978543.0,0.0,Normal,Normal
Alba,MI,612.7099989,1180.866377,2.0,21.0,175.0,0.0,0.0,228094.0,0.0,Normal,Normal
Alba,TX,504.70213420000016,968.7641327,14.0,128.0,1525.0,12.0,1830.0,2042406.0,219618.0,Normal,Normal
Albany,CA,6221.92,10168.81,302.0,417.0,28437.0,47.0,7021.0,38076962.0,842786.0,High,Normal
Albany,IL,1431.131574,1768.0207879999994,10.0,43.0,492.0,54.0,8893.0,838259.0,1067488.0,Normal,Normal
Albany,IN,18548.864559999998,26940.26495,29.0,444.0,5067.0,32.0,4417.0,8638437.0,530220.0,Normal,Normal
Albany,KY,20533.2382,47742.70982,102.0,1313.0,13199.0,0.0,0.0,22125277.0,0.0,High,Normal
Albany,LA,3909.699515,6023.758182,45.0,1317.0,16289.0,151.0,19025.0,25991058.0,2283866.0,High,Normal
Albany,MN,16252.3281,41288.5988,68.0,566.0,5705.0,298.0,49468.0,6175418.0,5938224.0,Normal,High
Albany,NH,24767.85319,43461.571410000004,14.0,182.0,1249.0,0.0,0.0,1355954.0,0.0,Normal,Normal
Albany,NY,6221.92,10168.81,42.0,417.0,4199.0,47.0,7021.0,6139039.0,842786.0,Normal,Normal
Albany,OH,1247.109367,1769.472314,26.0,193.0,1904.0,48.0,8818.0,3246856.0,1058562.0,Normal,Normal
Albany,OR,6221.92,10168.81,42.0,417.0,4199.0,47.0,7021.0,6139039.0,842786.0,Normal,Normal
Albany,PA,17235.98589,24665.88734,38.0,210.0,2174.0,16.0,1964.0,4189416.0,235744.0,Normal,Normal
Albany,TX,9470.94056,12057.45946,45.0,494.0,5884.0,48.0,7157.0,7879209.0,859120.0,Normal,Normal
Albany,VT,4085.2708369999996,4887.085031000001,12.0,99.0,620.0,0.0,0.0,673359.0,0.0,Normal,Normal
Albany,WI,742.2195401,1281.3540050000001,34.0,232.0,2065.0,60.0,9296.0,2695473.0,1115962.0,Normal,Normal
Albers,IL,6246.847629,8646.055506,14.0,181.0,2028.0,0.0,0.0,2071776.0,0.0,Normal,Normal
Albert,KS,100.5791153,183.88740269999997,2.0,31.0,286.0,3.0,391.0,515490.0,46935.0,Normal,Normal
Albert City,IA,1849.0047920000002,3415.441066,15.0,89.0,979.0,30.0,4896.0,1059798.0,587690.0,Normal,Normal
Albert Lea,MN,65501.80561,127190.5715,42.0,417.0,4199.0,0.0,11.0,6139039.0,1310.0,Normal,Normal
Alberton,MT,344.23870350000016,549.4878198,7.0,1389.0,12478.0,0.0,0.0,15390789.0,40.0,High,Normal
Albertville,MN,35441.84622,50565.86821,145.0,2260.0,22780.0,557.0,92552.0,24656187.0,11110187.0,High,Very High
Albia,IA,20120.99135,49621.86631000001,122.0,736.0,8062.0,272.0,45135.0,8236355.0,5418166.0,Normal,High
Albion,IA,1435.60631,1591.0747199999994,16.0,73.0,797.0,24.0,3789.0,863096.0,454878.0,Normal,Normal
Albion,ID,2805.009617,4842.552408,15.0,83.0,1100.0,21.0,2938.0,1356662.0,352730.0,Normal,Normal
Albion,IL,6392.253824,10306.73223,57.0,758.0,8517.0,0.0,0.0,8700761.0,0.0,Normal,Normal
Albion,IN,1995.586639,3570.848568,54.0,386.0,3770.0,0.0,1.0,6426769.0,163.0,Normal,Normal
Albion,ME,12901.93815,18642.1898,19.0,126.0,1052.0,0.0,4.0,1142083.0,531.0,Normal,Normal
Albion,MI,12976.32079,20864.45863,159.0,3520.0,29624.0,818.0,7021.0,38666746.0,842786.0,Very High,Normal
Albion,NE,17424.36924,42937.89292,41.0,163.0,1958.0,0.0,0.0,2119327.0,19.0,Normal,Normal
Albion,NY,39954.18995,72468.84642999999,224.0,2781.0,26449.0,47.0,7021.0,47621800.0,842786.0,High,Normal
Albion,WA,1093.647479,2516.4857739999998,4.0,43.0,426.0,9.0,1145.0,525367.0,137466.0,Normal,Normal
Albuquerque,NM,6221.92,10168.81,42.0,417.0,4199.0,47.0,7021.0,6139039.0,842786.0,Normal,Normal
Alburgh,VT,6524.649015,9545.468066,39.0,571.0,3946.0,0.0,0.0,4282316.0,0.0,Normal,Normal
Alburnett,IA,734.4951017999997,1011.350466,13.0,58.0,630.0,23.0,3558.0,681725.0,427150.0,Normal,Normal
Alburtis,PA,1157.152883,1508.2571710000002,13.0,1600.0,19204.0,361.0,44266.0,37008155.0,5313755.0,High,High
Alcester,SD,3554.020776,5583.899848,13.0,137.0,1584.0,19.0,3733.0,1714606.0,448145.0,Normal,Normal
Alcoa,TN,6221.92,10168.81,250.0,417.0,4199.0,849.0,108782.0,6139039.0,13058446.0,Normal,Very High
Alda,NE,1362.458618,1773.2645899999998,12.0,41.0,395.0,0.0,0.0,427715.0,0.0,Normal,Normal
Aldan,PA,24193.63714,45081.58341,49.0,178.0,1758.0,79.0,9609.0,3387700.0,1153432.0,Normal,Normal
Alden,IA,2265.31081,2731.9203399999997,14.0,50.0,547.0,19.0,2953.0,591895.0,354527.0,Normal,Normal
Alden,MI,307.6033791000001,490.5885951,9.0,59.0,494.0,0.0,0.0,644488.0,0.0,Normal,Normal
Alden,MN,741.2274676,1245.671575,10.0,154.0,1701.0,0.0,4.0,1841109.0,426.0,Normal,Normal
Alden,NY,67694.59835,101523.5509,196.0,1827.0,17266.0,537.0,100303.0,31087967.0,12040674.0,High,Very High
Aldrich,MO,96.47284467,121.5106287,0.0,6.0,52.0,0.0,0.0,52709.0,0.0,Normal,Normal
Aledo,IL,20279.74909,49036.3133,81.0,985.0,11158.0,238.0,41286.0,11399288.0,4956067.0,High,High
Aleppo,PA,2204.442687,4619.867889,49.0,1087.0,11593.0,270.0,35520.0,19764768.0,4263952.0,High,High
Alex,OK,2301.375297,3922.8577090000003,3.0,36.0,473.0,7.0,950.0,1003082.0,114100.0,Normal,Normal
Alexander,AR,72.04961291,123.3368771,16.0,257.0,3124.0,89.0,14073.0,4984135.0,1689308.0,Normal,Normal
Alexander,IA,571.0421163999998,653.7133317,3.0,16.0,176.0,5.0,829.0,190423.0,99551.0,Normal,Normal
Alexander,KS,225.75803109999998,163.4844745,6.0,92.0,837.0,6.0,868.0,1507229.0,104172.0,Normal,Normal
Alexander,ME,2944.148517,4133.40312,5.0,14.0,87.0,0.0,0.0,94871.0,0.0,Normal,Normal
Alexander,ND,1034.4461529999999,1976.7627329999998,3.0,395.0,4182.0,17.0,3079.0,4526251.0,369613.0,Normal,Normal
Alexander,NY,7780.625336,10319.18523,52.0,1246.0,11854.0,189.0,35250.0,21343190.0,4231524.0,High,High
Alexandria,DC,6221.92,10168.81,42.0,417.0,4199.0,47.0,7021.0,6139039.0,842786.0,Normal,Normal
Alexandria,IN,5601.580832,8501.910976000001,145.0,897.0,10262.0,215.0,30056.0,17495028.0,3607970.0,High,High
Alexandria,KY,21932.41461,31474.94934,143.0,1954.0,24887.0,368.0,50649.0,41717669.0,6080001.0,High,High
Alexandria,LA,6221.92,10168.81,42.0,417.0,4199.0,47.0,7021.0,6139039.0,842786.0,Normal,Normal
Alexandria,MN,65884.89689,132704.6977,344.0,417.0,4199.0,803.0,7021.0,6139039.0,842786.0,Normal,Normal
Alexandria,NH,7609.982381999999,14399.39535,22.0,130.0,909.0,0.0,0.0,986115.0,0.0,Normal,Normal
Alexandria,NJ,34696.03011,57436.91084,55.0,417.0,3568.0,157.0,18828.0,6875581.0,2260120.0,Normal,Normal
Alexandria,NY,6221.92,10168.81,128.0,2739.0,26053.0,0.0,0.0,46909335.0,6.0,High,Normal
Alexandria,OH,536.6679285,671.8944809999998,4.0,410.0,4046.0,33.0,6094.0,6898744.0,731589.0,Normal,Normal
Alexandria,PA,5782.671685,9572.818474,69.0,716.0,6541.0,157.0,18838.0,12605708.0,2261352.0,Normal,Normal
Alexandria,SD,1067.606483,1408.152677,8.0,45.0,459.0,7.0,1195.0,497017.0,143506.0,Normal,Normal
Alexandria,VA,6221.92,10168.81,42.0,417.0,4199.0,47.0,7021.0,6139039.0,842786.0,Normal,Normal
Alexis,IL,1009.255767,1946.7184559999998,20.0,151.0,1694.0,1.0,167.0,1730719.0,20085.0,Normal,Normal
Alfred,ME,12754.28705,20722.13963,64.0,432.0,3623.0,100.0,9377.0,3932065.0,1125581.0,Normal,Normal
Alfred,NY,40319.981889999995,60328.42161000001,45.0,247.0,2190.0,28.0,5217.0,3942539.0,626316.0,Normal,Normal
Alger,OH,434.09322810000003,513.9773240000002,20.0,135.0,1375.0,30.0,5637.0,2344366.0,676645.0,Normal,Normal
Algoma,MS,323.22925289999995,795.5306582000003,4.0,198.0,1684.0,6.0,870.0,2823437.0,104425.0,Normal,Normal
Algoma,WI,7611.251033,12496.93524,85.0,1382.0,14821.0,567.0,93545.0,19345493.0,11229403.0,High,Very High
Algona,IA,30093.298789999997,65573.06011,170.0,1870.0,20473.0,510.0,79776.0,22159715.0,9576544.0,High,Very High
Algona,WA,15703.669430000002,21718.39666,56.0,1463.0,14796.0,354.0,42216.0,18249399.0,5067772.0,High,High
Algonac,MI,5101.381081,8506.832708,88.0,1341.0,13940.0,332.0,50965.0,18194641.0,6118018.0,High,High
Algonquin,IL,6221.92,10168.81,42.0,417.0,4199.0,47.0,7021.0,6139039.0,842786.0,Normal,Normal
Algood,TN,3786.7552909999995,5180.2373240000015,76.0,1156.0,9983.0,275.0,35302.0,16734511.0,4237763.0,High,High
Alhambra,CA,6221.92,10168.81,42.0,417.0,4199.0,47.0,7021.0,6139039.0,842786.0,Normal,Normal
Alhambra,IL,1067.9415199999999,2267.1118460000002,13.0,161.0,1812.0,0.0,0.0,1850979.0,0.0,Normal,Normal
Alice,TX,47440.6582,94493.91788,326.0,4607.0,4199.0,518.0,79951.0,6139039.0,9597588.0,Normal,Very High
Aline,OK,534.3015993,545.6566763,5.0,67.0,887.0,13.0,1880.0,1881311.0,225624.0,Normal,Normal
Aliquippa,PA,65028.77377000001,117992.4366,187.0,1601.0,17052.0,0.0,0.0,29072004.0,31.0,High,Normal
Aliso Viejo,CA,6221.92,10168.81,327.0,417.0,4199.0,603.0,70563.0,6139039.0,8470565.0,Normal,High
Allagash,ME,228.33554109999997,461.6509033,5.0,13.0,106.0,0.0,0.0,115322.0,0.0,Normal,Normal
Allamuchy,NJ,38442.4976,72326.56872000001,84.0,938.0,8015.0,572.0,68405.0,15446781.0,8211524.0,Normal,High
Allardt,TN,706.5814753999997,1716.018748,22.0,241.0,2201.0,0.0,0.0,3689763.0,11.0,Normal,Normal
Allegan,MI,10650.39065,19306.367469999997,192.0,2582.0,21701.0,718.0,110111.0,28325193.0,13217978.0,High,Very High
Allegany,NY,36501.287560000004,67333.57276,146.0,2040.0,19386.0,334.0,60042.0,34904379.0,7207553.0,High,High
Allegany,PA,72621.10271,133274.9528,155.0,2093.0,19964.0,353.0,62647.0,36018176.0,7520236.0,High,High
Allegheny,PA,30763.10375,49203.56909,42.0,417.0,4199.0,818.0,110393.0,6139039.0,13251850.0,Normal,Very High
Alleman,IA,1390.068362,1587.345215,6.0,26.0,290.0,10.0,1678.0,295766.0,201399.0,Normal,Normal
Allen,KS,619.442096,956.324676,5.0,23.0,230.0,0.0,1.0,413932.0,73.0,Normal,Normal
Allen,KY,267.76543480000004,237.92659300000003,17.0,351.0,2943.0,25.0,3401.0,5018198.0,408292.0,Normal,Normal
Allen,NE,399.6611421,484.51595189999995,5.0,75.0,1000.0,6.0,1083.0,1082264.0,130039.0,Normal,Normal
Allen,OK,3154.914665,5060.764506,21.0,164.0,2152.0,27.0,3924.0,4565701.0,471070.0,Normal,Normal
Allen,TX,6221.92,10168.81,42.0,417.0,4199.0,47.0,7021.0,6139039.0,842786.0,Normal,Normal
Allen Park,MI,6221.92,10168.81,42.0,417.0,4199.0,0.0,0.0,6139039.0,0.0,Normal,Normal
Allendale,IL,334.428588,359.164783,5.0,67.0,753.0,8.0,874.0,769364.0,104930.0,Normal,Normal
Allendale,MI,6221.92,10168.81,155.0,3323.0,27932.0,504.0,77264.0,36457401.0,9274994.0,High,Very High
Allendale,NJ,6221.92,10168.81,142.0,1992.0,16447.0,735.0,101507.0,29613621.0,12185218.0,High,Very High
Allenhurst,NJ,7550.135826000002,12831.60129,49.0,621.0,5308.0,203.0,19460.0,10229282.0,2336054.0,Normal,Normal
Allenstown,NH,33332.75913,52396.93477,48.0,542.0,3692.0,252.0,22287.0,4006288.0,2675416.0,Normal,Normal
Allenton,WI,613.6974307,944.7624632999999,37.0,229.0,1973.0,108.0,16541.0,3363727.0,1985643.0,Normal,Normal
Allentown,NJ,8257.588459,13102.98431,29.0,320.0,2677.0,71.0,9862.0,5158138.0,1183837.0,Normal,Normal
Allerton,IA,645.0821563999998,997.5889094,17.0,68.0,741.0,27.0,4118.0,802146.0,494303.0,Normal,Normal
Alliance,NE,33419.63403,69018.82432999999,210.0,2881.0,24132.0,0.0,0.0,42286788.0,0.0,High,Normal
Alliance,OH,48262.28314,96343.29145,42.0,417.0,4199.0,47.0,7021.0,6139039.0,842786.0,Normal,Normal
Allison,IA,3177.765184,6165.044876,38.0,189.0,2066.0,53.0,8936.0,2235667.0,1072702.0,Normal,Normal
Allouez,WI,6221.92,10168.81,266.0,4098.0,43979.0,47.0,7021.0,57404473.0,842786.0,Very High,Normal
Alloway,NJ,16834.966969999998,31012.16425,51.0,975.0,6808.0,121.0,12406.0,13120753.0,1489307.0,Normal,Normal
Alma,AR,24751.07153,41690.136210000004,75.0,913.0,12151.0,341.0,47826.0,25783138.0,5741132.0,High,High
Alma,CO,694.396812,1602.548813,5.0,96.0,1035.0,6.0,1071.0,1813692.0,128587.0,Normal,Normal
Alma,KS,710.4322807,1309.119348,28.0,258.0,2562.0,0.0,0.0,4613889.0,18.0,Normal,Normal
Alma,MI,34913.40311,76855.96072999999,200.0,417.0,47299.0,637.0,97613.0,61736838.0,11717766.0,Very High,Very High
Alma,MN,5726.262847,8164.757116,26.0,342.0,3380.0,0.0,0.0,3658793.0,0.0,Normal,Normal
Alma,NE,15523.957880000002,40304.72864,42.0,179.0,1689.0,0.0,0.0,1828032.0,31.0,Normal,Normal
Alma,TX,279.13320689999995,734.7245907,2.0,52.0,623.0,3.0,437.0,834577.0,52471.0,Normal,Normal
Alma,WI,2863.131423000001,4082.378558,26.0,342.0,3380.0,0.0,0.0,3658793.0,0.0,Normal,Normal
Alma Center,WI,2177.491929,3304.64797,4.0,23.0,224.0,4.0,588.0,242422.0,70531.0,Normal,Normal
Almena,KS,1059.748345,1396.114059,8.0,118.0,1005.0,16.0,2246.0,1809198.0,269611.0,Normal,Normal
Almena,WI,2050.077568,2799.44635,14.0,134.0,1323.0,23.0,3366.0,1431848.0,404076.0,Normal,Normal
Almira,WA,1095.2341199999996,1157.788077,2.0,15.0,170.0,5.0,658.0,209902.0,78945.0,Normal,Normal
Almond,NY,11168.53237,18998.428930000002,23.0,150.0,1333.0,15.0,2811.0,2400138.0,337435.0,Normal,Normal
Almond,WI,426.5717482,476.34831490000005,10.0,69.0,684.0,13.0,2040.0,892563.0,244942.0,Normal,Normal
Almont,MI,2387.25705,3757.4776,56.0,757.0,7872.0,173.0,26500.0,10274841.0,3181098.0,Normal,High
