,elec_score,gas_score,num_establishments,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg,k distances,local outlier factor
1922,168.94931161184647,825.662667670105,42.0,37645.0,741645.0,67390.0,21668790.0,1183402286.0,2601179884.0,1978668415.6659942,1.2434605172900153
4552,94761.10819264027,1404550.989781921,14.0,108.0,1789.0,46.0,7794.0,3221161.0,935623.0,1401226.5419273397,1.2531703588122813
10,158751.42131407536,1577115.788847481,46.0,306.0,2290.0,103.0,13948.0,2485469.0,1674391.0,1551798.01944268,1.3011285614272208
2399,51409.191183760086,244311.1812154384,4.0,15.0,210.0,7.0,1612.0,227350.0,193498.0,255121.5183373485,1.3072506740666132
5000,7102.310996149228,68577.84075805287,42.0,41160.0,810885.0,73681.0,23691792.0,1293884940.0,2844026514.0,2213075766.432651,1.3153687639473988
2169,452339.11455943604,4278991.570306304,101.0,185195.0,2655471.0,105867.0,21215856.0,4527295277.0,2546808488.0,3652399377.227564,1.3603213713655362
8229,96203.67794253664,1541060.9074698437,54.0,268.0,2091.0,91.0,15060.0,2269353.0,1807836.0,1530368.5929768328,1.3642479325564556
3304,41790.687212469005,734973.9731657386,28.0,45.0,748.0,19.0,3261.0,1347571.0,391418.0,739046.4802296492,1.4009894657585373
3717,23788.498813436818,179498.15109587926,68.0,119283.0,2238843.0,86311.0,32570142.0,2997813852.0,3909807570.0,3601044040.8158584,1.409163764308045
6122,13197779.317044295,82416981.92092967,5993.0,177529.0,2924831.0,22350.0,3860128.0,3756417973.0,463380159.0,2691078457.383342,1.446945211706552
5241,43731.985812134626,743415.4508148843,20.0,43.0,758.0,18.0,3959.0,1270930.0,475249.0,747312.3948540873,1.448705113021967
8806,108100.12195186416,1764199.8501746086,52.0,161.0,2662.0,69.0,11596.0,4792447.0,1392021.0,1774693.423874235,1.4769193288694484
5756,8480437.680318281,63316507.06719309,7277.0,113796.0,2267246.0,194365.0,24174694.0,4810779723.0,2901995391.0,4070202056.5598617,1.5539760481394216
954,60919.413099870304,295037.8145265889,9.0,23.0,254.0,13.0,1677.0,275881.0,201347.0,301847.7397669768,1.5933342403291022
496,117635.63282153387,1658622.1201039134,79.0,117.0,1943.0,50.0,8464.0,2910858.0,1015988.0,1625661.7300082026,1.603633024184152
6851,5490493.660589216,40516002.55060194,6816.0,127297.0,2389252.0,92109.0,34758244.0,3199210631.0,4172473196.0,3921356740.9736156,1.611801955565008
