,elec_score,gas_score,num_establishments,elec_1kdollars,elec_mwh,gas_1kdollars,gas_mcf,elec_lb_ghg,gas_lb_ghg,k distances,local outlier factor
16729,3019.896241110131,3749.0346202521273,50.0,484.0,5420.0,600.0,78885.0,5537355.0,9469578.0,6770804.454783127,1.3380088515232
7394,4556.624813824524,8573.237315880031,36.0,504.0,5453.0,603.0,79333.0,5570752.0,9523309.0,6810662.705200872,1.3394261452054443
7997,1907881.0996854072,3541362.158690252,2537.0,40773.0,443186.0,6072.0,1111787.0,776600364.0,133461960.0,507607232.10235274,1.3464960190185236
16768,3065602.818607861,5357126.503632301,2819.0,80577.0,488656.0,12129.0,2272811.0,732201529.0,272834310.0,506343014.3997112,1.3557497677400978
6911,10548.9436441103,33440.313029047415,20.0,282.0,3169.0,409.0,53802.0,3237368.0,6458544.0,4678239.181237074,1.356975672439918
12515,3995.095494933421,7186.715942952385,40.0,167.0,1682.0,165.0,29654.0,1820204.0,3559748.0,2602672.4294343744,1.3650077736447137
1780,412.2204189212992,846.2099046834925,79.5,1237.75,13922.0,1244.0,163668.0,14222709.75,19647176.0,14334735.682218492,1.3699030673746655
10698,1923425.780976221,3858685.0779296136,1508.0,28061.0,368948.0,2193.0,318574.0,782856518.0,38242534.0,509457506.7003708,1.3782393226289333
11518,3263816.742739682,5420883.9741048915,930.0,48281.0,412592.0,12845.0,1393515.0,795121163.0,167281250.0,530937108.4750404,1.4138059257963917
7308,457672.64135276846,863962.9157669423,1235.0,49548.0,476958.0,3094.0,396650.0,799528990.0,47614926.0,525123426.5247813,1.4266178112954988
16796,125534.2129402817,280179.91271350125,222.0,318.0,3280.0,624.0,78743.0,5233812.0,9452570.0,6817095.753561804,1.4354462238997867
12954,1094470.612762764,2228544.6130990344,1178.0,50346.0,600066.0,3138.0,470525.0,803488710.0,56483118.0,529227494.99491984,1.4397405910443626
10905,537.9526129089527,1150.791839763901,2.0,19.0,211.0,45.0,5878.0,215190.0,705619.0,596059.0997983962,1.4648746455568082
12945,257295.25069674125,413750.4781388264,658.0,47636.0,453033.0,5155.0,1027181.0,815710411.0,123305623.0,542051858.735325,1.4658528228308845
9734,2842.4337684496413,3822.679607135938,24.0,341.0,3839.0,495.0,65179.0,3921950.0,7824284.0,5689140.090632047,1.4717958914627174
1538,748742.4524135869,1460331.87019137,1002.0,33338.0,390415.0,3693.0,466240.0,828406550.0,55968751.0,551437686.7760624,1.5147567573804113
5899,2721735.16488468,4180521.3857695577,1941.0,52073.0,620643.0,5058.0,758479.0,831041123.0,91049881.0,553827484.0813044,1.5210888229541621
11654,30113.404956604223,53595.25761167283,111.0,3000.0,33752.0,2857.0,375968.0,34481831.0,45132152.0,33993032.66495795,1.5227714091925082
4602,3767.6827678736863,5647.161901241228,30.0,285.0,3203.0,446.0,58651.0,3271847.0,7040611.0,5183683.593533345,1.5280987762518625
7421,1174704.0983808793,2336635.7861460582,1349.0,49907.0,496632.0,3809.0,488358.0,832509187.0,58623754.0,555239953.3924227,1.5288822681487082
5713,3008127.8093698067,6173227.543693388,2588.0,67458.0,651103.0,5252.0,588349.0,836224954.0,70627046.0,558438757.6687014,1.5412579424225512
167,649706.9363148643,1447928.6206015425,1067.0,39649.0,395232.0,2640.0,333317.0,838628194.0,40012223.0,562193511.5251329,1.55894771784911
8072,526586.4292607392,895865.2287754752,2551.0,53276.0,634986.0,5199.0,802255.0,850246508.0,96304882.0,573004752.209294,1.5885718506748676
316,1568532.1420480157,2798044.9147085827,2545.0,48223.0,457699.0,11360.0,2118570.0,824111902.0,254318808.0,579871363.546337,1.595839828037006
12428,292909.18844815803,558184.2359405751,448.0,2771.0,18781.0,2184.0,242617.0,20382353.0,29124420.0,21773872.539817758,1.6073003328619324
4636,856.8803434895392,1063.7568881166521,3.0,21.0,233.0,57.0,7447.0,237805.0,893965.0,745184.756001731,1.6462663318512958
9559,182.73747976253463,293.1339093963044,3.0,17.0,191.0,48.0,6254.0,195619.0,750804.0,641842.2046292069,1.6477990784745373
98,1969685.8584563828,3631611.815258011,3568.0,48222.0,478171.0,12801.0,2613861.0,815231363.0,313774954.0,594474809.1574259,1.656418902328389
11524,5627943.865311737,11361968.557240542,2515.0,92654.0,653448.0,6541.0,765629.0,874973635.0,91908110.0,596452280.9345891,1.6698078417386577
338,7841745.916203225,14126912.132001638,3785.0,88735.0,659411.0,9509.0,1113063.0,882957247.0,133615100.0,608052850.4821619,1.690995207596693
988,1523184.371968227,3101685.882327957,2143.0,46969.0,559811.0,5758.0,878936.0,893260111.0,105509811.0,615388521.5424495,1.7272572388517269
3271,24401.234453550464,55717.6139287361,905.5,89591.75,530615.0,27489.25,3629061.0,731989126.0,435642245.5,589797082.3644624,1.7341386159193746
2730,323.79008649729275,546.5503444770059,905.25,89597.25,530647.75,27489.25,3629061.0,732035134.0,435642245.5,589831590.6557614,1.734273041571185
12058,62.10187745597438,67.36009314510261,905.25,89597.25,530647.75,27489.25,3629061.0,732035134.0,435642245.5,589831590.7658889,1.7342730519135403
13452,27052.68481963098,63548.26868721606,926.5,90445.75,535672.5,27489.25,3629061.0,739115383.25,435642245.5,595159316.3428962,1.750524685348737
13805,27699.412726380968,56917.59394348809,926.5,90445.75,535672.5,27489.25,3629061.0,739115383.25,435642245.5,595159316.6896502,1.7505247857624757
13417,72.8524974253347,159.85100411946448,926.5,90445.75,535672.5,27489.25,3629061.0,739115383.25,435642245.5,595159325.8742489,1.750525953749176
3108,3258734.1786654997,5399982.189770259,1907.0,51930.0,493519.0,9107.0,1814583.0,888607646.0,217827388.0,629151121.0269846,1.7665828663443361
